name,height,length,width,brand,city_mpg,highway_mpg,transmission_type,engine_torque,engine_horsepower,year,is_hybrid
2011 Chevrolet Colorado Work Truck,112,22,181,Chevrolet,18,25,Manual transmission,190,185,2011,True
2011 Chevrolet Colorado Extended Cab Work Truck,112,140,181,Chevrolet,18,25,Manual transmission,190,185,2011,True
2011 Chevrolet Colorado Crew Cab 1LT,120,140,181,Chevrolet,18,25,Automatic transmission,190,185,2011,True
2010 Chevrolet Colorado Work Truck,112,22,181,Chevrolet,18,25,Manual transmission,190,185,2010,True
2010 Chevrolet Colorado Extended Cab Work Truck,112,140,181,Chevrolet,20,26,Manual transmission,190,185,2010,True
2010 Chevrolet Colorado Crew Cab LT1,120,140,181,Chevrolet,18,25,Automatic transmission,190,185,2010,True
2012 Chevrolet Express LS 1500,77,60,219,Chevrolet,13,18,Automatic transmission,334,310,2012,True
2012 Chevrolet Express LS 1500 AWD,77,60,219,Chevrolet,9,12,Automatic transmission,334,310,2012,True
2011 Chevrolet Express LS 1500,77,60,219,Chevrolet,13,17,Automatic transmission,334,310,2011,True
2011 Chevrolet Express LS 1500 AWD,77,60,219,Chevrolet,13,17,Automatic transmission,334,310,2011,True
2011 Chevrolet Express LS 2500,22,60,219,Chevrolet,8,12,Automatic transmission,295,280,2011,True
2011 Chevrolet Express LS 2500 6.0L,22,60,219,Chevrolet,8,12,Automatic transmission,373,324,2011,True
2010 Chevrolet Express LS 1500,24,60,224,Chevrolet,10,13,Automatic transmission,334,310,2010,True
2010 Chevrolet Express LS 1500 AWD,24,60,224,Chevrolet,13,17,Automatic transmission,334,310,2010,True
2011 Chevrolet Silverado 1500 Work Truck,77,102,237,Chevrolet,15,20,Automatic transmission,260,195,2011,True
2011 Chevrolet Silverado 1500 Crew Cab Work Truck,82,215,240,Chevrolet,14,19,Automatic transmission,305,302,2011,True
2011 Chevrolet Silverado 1500 Extended Cab Work Truck,85,215,237,Chevrolet,15,20,Automatic transmission,260,195,2011,True
2010 Chevrolet Silverado 1500 Extended Cab Work Truck,85,215,237,Chevrolet,15,20,Automatic transmission,260,195,2010,True
2010 Chevrolet Silverado 1500 Work Truck,77,102,237,Chevrolet,15,20,Automatic transmission,260,195,2010,True
2010 Chevrolet Silverado 1500 Crew Cab Work Truck,82,215,240,Chevrolet,14,19,Automatic transmission,305,302,2010,True
2011 Nissan 370Z NISMO,43,52,52,Nissan,18,26,Manual transmission,276,350,2011,True
2010 Nissan 370Z NISMO,35,75,52,Nissan,18,26,Manual transmission,276,350,2010,True
2009 Nissan 370Z NISMO,35,75,52,Nissan,18,26,Manual transmission,276,350,2009,True
2011 Volvo C30 T5,167,168,247,Volvo,21,29,Manual transmission,236,227,2011,True
2011 Volvo C30 T5 AT,167,168,247,Volvo,21,30,Automatic transmission,236,227,2011,True
2010 Volvo C30 T5 AT,167,155,247,Volvo,21,30,Automatic transmission,236,227,2010,True
2010 Volvo C30 T5,167,155,247,Volvo,21,29,Manual transmission,236,227,2010,True
2010 Bentley Brooklands,193,34,107,Bentley,9,15,Automatic transmission,774,530,2010,True
2012 Bentley Continental Supersports Convertible,99,195,153,Bentley,8,14,Automatic transmission,590,621,2012,True
2012 Bentley Continental Supersports Coupe,110,199,153,Bentley,8,14,Automatic transmission,590,621,2012,True
2011 Bentley Continental Supersports Convertible,99,195,153,Bentley,8,14,Automatic transmission,590,621,2011,True
2010 Bentley Continental Supersports,99,195,153,Bentley,12,19,Automatic transmission,590,621,2010,True
2012 Bentley Continental Flying Spur,118,170,184,Bentley,8,13,Automatic transmission,479,552,2012,True
2012 Bentley Continental Flying Spur Speed,108,170,184,Bentley,11,19,Automatic transmission,553,600,2012,True
2011 Bentley Continental Flying Spur Speed,185,170,184,Bentley,10,17,Automatic transmission,553,600,2011,True
2010 Bentley Continental Flying Spur Speed,185,170,184,Bentley,10,17,Automatic transmission,553,600,2010,True
2010 Bentley Continental Flying Spur,195,170,184,Bentley,10,17,Automatic transmission,479,552,2010,True
2011 Volvo C70 T5,120,7,44,Volvo,19,28,Automatic transmission,236,227,2011,True
2010 Volvo C70 T5,119,230,44,Volvo,20,28,Manual transmission,236,227,2010,True
2010 Volvo C70 T5 AT,119,230,44,Volvo,19,28,Automatic transmission,236,227,2010,True
2010 Volvo S40 2.4i,172,123,234,Volvo,21,29,Manual transmission,170,168,2010,True
2010 Volvo S40 R-Design,172,123,234,Volvo,21,30,Automatic transmission,236,227,2010,True
2011 Volvo S40 T5,172,123,234,Volvo,21,30,Automatic transmission,236,227,2011,True
2010 Volvo S40 R-Design AWD,190,123,234,Volvo,20,27,Manual transmission,236,227,2010,True
2012 Volvo S60 T5,203,19,72,Volvo,20,30,Automatic transmission,266,250,2012,True
2012 Volvo S60 T6 AWD,203,19,72,Volvo,18,26,Automatic transmission,325,300,2012,True
2012 Volvo S60 R-Design,203,19,72,Volvo,18,26,Automatic transmission,354,325,2012,True
2011 Volvo S60 T6 AWD,203,14,72,Volvo,18,26,Automatic transmission,325,300,2011,True
2011 Volvo S80 3.2,213,243,69,Volvo,19,27,Automatic transmission,236,240,2011,True
2010 Volvo S80 V8,213,243,69,Volvo,15,22,Automatic transmission,325,311,2010,True
2010 Volvo S80 T6 AWD,213,243,69,Volvo,16,24,Automatic transmission,295,281,2010,True
2010 Volvo S80 3.2,213,243,69,Volvo,18,27,Automatic transmission,236,235,2010,True
2011 Volvo V50 T5,177,169,234,Volvo,21,30,Automatic transmission,236,227,2011,True
2010 Volvo V50 R-Design,193,169,234,Volvo,20,26,Manual transmission,236,227,2010,True
2010 Volvo V50 2.4i,177,169,234,Volvo,20,31,Automatic transmission,170,168,2010,True
2011 Volvo XC60 T6 AWD,175,19,97,Volvo,17,22,Automatic transmission,325,300,2011,True
2011 Volvo XC60 3.2,175,19,97,Volvo,18,25,Automatic transmission,236,240,2011,True
2010 Volvo XC60 T6 AWD,175,19,97,Volvo,16,21,Automatic transmission,295,281,2010,True
2010 Volvo XC60 3.2,175,19,97,Volvo,18,27,Automatic transmission,236,235,2010,True
2011 Volvo XC70 3.2,66,230,69,Volvo,18,25,Automatic transmission,236,240,2011,True
2011 Volvo XC70 T6 AWD,66,230,69,Volvo,17,22,Automatic transmission,325,300,2011,True
2010 Volvo XC70 T6 AWD,66,230,69,Volvo,16,21,Automatic transmission,295,281,2010,True
2010 Volvo XC70 3.2,66,230,69,Volvo,16,22,Automatic transmission,236,235,2010,True
2011 Toyota 4Runner SR5,24,216,133,Toyota,17,23,Automatic transmission,278,270,2011,True
2011 Toyota 4Runner SR5 4WD,24,216,24,Toyota,17,22,Automatic transmission,278,270,2011,True
2011 Toyota 4Runner Trail,93,216,133,Toyota,17,22,Automatic transmission,278,270,2011,True
2011 Toyota 4Runner Limited,24,216,133,Toyota,17,23,Automatic transmission,278,270,2011,True
2011 Toyota 4Runner  Limited 4WD,24,216,133,Toyota,17,22,Automatic transmission,278,270,2011,True
2011 Volvo XC90 3.2,247,200,105,Volvo,16,22,Automatic transmission,236,240,2011,True
2011 Volvo XC90 V8,247,200,105,Volvo,14,21,Automatic transmission,325,311,2011,True
2010 Volvo XC90 3.2,247,200,105,Volvo,15,22,Automatic transmission,236,235,2010,True
2010 Volvo XC90 V8,247,200,105,Volvo,13,19,Automatic transmission,325,311,2010,True
2010 Volvo V70 3.2,10,215,69,Volvo,18,27,Automatic transmission,236,235,2010,True
2010 Toyota 4Runner SR5,24,216,133,Toyota,18,23,Automatic transmission,178,157,2010,True
2010 Toyota 4Runner SR5 V6,24,216,133,Toyota,17,23,Automatic transmission,278,270,2010,True
2010 Toyota 4Runner SR5 V6 4WD,24,216,133,Toyota,17,22,Automatic transmission,278,270,2010,True
2010 Toyota 4Runner Trail,93,216,133,Toyota,17,22,Automatic transmission,278,270,2010,True
2010 Toyota 4Runner Limited,24,216,133,Toyota,17,23,Automatic transmission,278,270,2010,True
2010 Toyota 4Runner Limited 4WD,24,216,133,Toyota,17,22,Automatic transmission,278,270,2010,True
2012 Audi A3 2.0 T,143,196,203,Audi,21,30,Manual transmission,207,200,2012,True
2010 Honda Accord EX-L V-6 Coup,152,240,57,Honda,17,25,Manual transmission,251,271,2010,True
2010 Honda Accord EX Coup AT,152,240,57,Honda,21,31,Automatic transmission,162,190,2010,True
2010 Honda Accord EX-L Coup,152,240,57,Honda,22,31,Manual transmission,162,190,2010,True
2010 Honda Accord EX-L Coup AT,152,240,57,Honda,21,31,Automatic transmission,162,190,2010,True
2010 Honda Accord EX-L V-6 Coup AT,152,240,57,Honda,19,28,Automatic transmission,251,271,2010,True
2010 Honda Accord EX Coup,152,240,57,Honda,22,31,Manual transmission,162,190,2010,True
2010 Honda Accord LX-S Coup AT,152,240,57,Honda,21,31,Automatic transmission,162,190,2010,True
2010 Honda Accord LX-S Coup,152,240,57,Honda,22,31,Manual transmission,162,190,2010,True
2011 Nissan 370Z Roadster,45,150,57,Nissan,18,25,Manual transmission,270,332,2011,True
2011 Nissan 370Z Roadster AT,45,150,57,Nissan,18,25,Automatic transmission,270,332,2011,True
2011 Nissan 370Z Touring Roadster,45,150,57,Nissan,18,25,Manual transmission,270,332,2011,True
2011 Nissan 370Z Touring Roadster AT,45,150,57,Nissan,18,25,Automatic transmission,270,332,2011,True
2010 Nissan 370Z Touring Roadster,45,150,57,Nissan,18,25,Manual transmission,270,332,2010,True
2010 Nissan 370Z Roadster,45,150,57,Nissan,18,25,Manual transmission,270,332,2010,True
2010 Nissan 370Z Roadster AT,45,150,57,Nissan,18,25,Automatic transmission,270,332,2010,True
2010 Nissan 370Z Touring Roadster AT,45,150,57,Nissan,18,25,Automatic transmission,270,332,2010,True
2011 Audi A3 2.0 T,143,196,203,Audi,21,30,Manual transmission,207,200,2011,True
2011 Nissan 370Z Coupe,35,150,52,Nissan,18,26,Manual transmission,270,332,2011,True
2011 Nissan 370Z Touring Coupe,35,150,52,Nissan,18,26,Manual transmission,270,332,2011,True
2011 Nissan 370Z Touring Coupe AT,35,150,52,Nissan,19,26,Automatic transmission,270,332,2011,True
2011 Nissan 370Z Touring Coupe,35,150,52,Nissan,18,26,Manual transmission,270,332,2011,True
2010 Audi A3 2.0 T,143,196,203,Audi,21,30,Manual transmission,207,200,2010,True
2010 Nissan 370Z Touring Coupe AT,35,150,52,Nissan,19,26,Automatic transmission,270,332,2010,True
2010 Nissan 370Z Coupe,35,150,52,Nissan,18,26,Manual transmission,270,332,2010,True
2010 Nissan 370Z Touring Coupe,35,150,52,Nissan,18,26,Manual transmission,270,332,2010,True
2010 Nissan 370Z Coupe AT,35,150,52,Nissan,19,26,Automatic transmission,270,332,2010,True
2012 Audi A4 Sedan 2.0 T Quattro,147,95,248,Audi,21,31,Manual transmission,258,211,2012,True
2012 Audi A4 Sedan 2.0 T Quattro AT,147,95,248,Audi,21,29,Automatic transmission,258,211,2012,True
2011 Audi A4 Sedan 2.0 T Quattro,147,95,214,Audi,21,31,Manual transmission,258,211,2011,True
2011 Audi A4 Sedan 2.0 T Quattro AT,147,95,214,Audi,21,29,Automatic transmission,258,211,2011,True
2012 Ford Fiesta S Sedan,193,57,186,Ford,29,38,Manual transmission,112,120,2012,True
2012 Ford Fiesta SE Sedan,193,57,186,Ford,29,38,Manual transmission,112,120,2012,True
2012 Ford Fiesta SEL Sedan,193,57,186,Ford,29,38,Manual transmission,112,120,2012,True
2011 Ford Fiesta Sedan S,193,57,160,Ford,38,37,Manual transmission,112,120,2011,True
2011 Ford Fiesta Sedan SE,193,57,160,Ford,28,37,Manual transmission,112,120,2011,True
2011 Ford Fiesta Sedan SEL,193,57,160,Ford,28,37,Manual transmission,112,120,2011,True
2011 Volvo C30 R-Design AT,167,168,247,Volvo,21,30,Automatic transmission,236,227,2011,True
2011 Volvo C30 R-Design,167,168,247,Volvo,21,29,Manual transmission,236,227,2011,True
2010 Volvo C30 R-Design AT,167,155,247,Volvo,21,30,Automatic transmission,236,227,2010,True
2010 Volvo C30 R-Design,167,155,247,Volvo,21,29,Manual transmission,236,227,2010,True
2010 Audi A4 Sedan 2.0 T Quattro AT,147,95,34,Audi,21,27,Automatic transmission,258,211,2010,True
2010 Audi A4 Sedan 2.0 T Quattro,147,95,34,Audi,22,30,Manual transmission,258,211,2010,True
2010 Volvo S40 2.4i AT,172,123,234,Volvo,21,29,Automatic transmission,170,168,2010,True
2010 Volvo S40 R-Design AT AWD,190,123,234,Volvo,20,27,Automatic transmission,236,227,2010,True
2012 Audi A4 Avant 2.0 T,156,95,248,Audi,21,29,Automatic transmission,258,211,2012,True
2011 Audi A4 Avant 2.0 T,156,95,214,Audi,21,29,Automatic transmission,258,211,2011,True
2010 Audi A4 Avant 2.0 T,155,95,34,Audi,23,30,Automatic transmission,258,211,2010,True
2011 Honda Accord EX Coup,152,240,57,Honda,23,32,Manual transmission,162,190,2011,True
2011 Honda Accord LX-S Coup AT,152,240,57,Honda,22,33,Automatic transmission,162,190,2011,True
2011 Honda Accord EX-L V-6 Coup,152,240,57,Honda,17,26,Manual transmission,251,271,2011,True
2011 Honda Accord LX-S Coup,152,240,57,Honda,23,32,Manual transmission,162,190,2011,True
2011 Honda Accord EX-L V-6 Coup AT,152,240,57,Honda,19,29,Automatic transmission,251,271,2011,True
2011 Honda Accord EX Coup AT,152,240,57,Honda,22,33,Automatic transmission,162,190,2011,True
2011 Honda Accord EX-L Coup,152,240,57,Honda,22,33,Automatic transmission,162,190,2011,True
2012 Ford Fiesta SE Hatchback,193,226,186,Ford,29,38,Manual transmission,112,120,2012,True
2012 Ford Fiesta SES Hatchback,193,226,186,Ford,29,38,Manual transmission,112,120,2012,True
2011 Ford Fiesta Hatchback SE,193,226,160,Ford,28,37,Manual transmission,112,120,2011,True
2011 Ford Fiesta Hatchback SES,193,226,160,Ford,28,37,Manual transmission,112,120,2011,True
2010 Honda Accord LX Sedan,58,66,54,Honda,22,31,Manual transmission,161,177,2010,True
2010 Honda Accord LX Sedan AT,195,66,54,Honda,21,31,Automatic transmission,161,177,2010,True
2010 Honda Accord LX-P Sedan,195,66,54,Honda,22,31,Manual transmission,161,177,2010,True
2010 Honda Accord LX-P Sedan AT,195,66,54,Honda,21,31,Automatic transmission,161,177,2010,True
2010 Honda Accord EX Sedan,195,66,54,Honda,22,31,Manual transmission,162,190,2010,True
2010 Honda Accord EX Sedan AT,195,66,54,Honda,21,31,Automatic transmission,162,190,2010,True
2010 Honda Accord EX-L Sedan,195,66,54,Honda,22,31,Manual transmission,162,190,2010,True
2010 Honda Accord EX-L Sedan AT,195,66,54,Honda,21,31,Automatic transmission,162,190,2010,True
2010 Honda Accord EX V-6 Sedan,195,71,54,Honda,19,29,Automatic transmission,254,271,2010,True
2011 Toyota Avalon,206,155,57,Toyota,20,29,Automatic transmission,248,268,2011,True
2011 Toyota Avalon Limited,206,155,57,Toyota,20,29,Automatic transmission,248,268,2011,True
2009 Nissan 370Z Coupe AT,35,150,57,Nissan,18,26,Automatic transmission,270,332,2009,True
2009 Nissan 370Z Touring Coupe AT,35,150,57,Nissan,18,26,Automatic transmission,270,332,2009,True
2009 Nissan 370Z Touring Coupe,35,150,57,Nissan,18,26,Manual transmission,270,332,2009,True
2009 Nissan 370Z Coupe,35,150,57,Nissan,18,26,Manual transmission,270,332,2009,True
2010 Toyota Avalon XL,205,155,57,Toyota,19,28,Automatic transmission,248,268,2010,True
2010 Toyota Avalon XLS,206,155,57,Toyota,19,28,Automatic transmission,248,268,2010,True
2010 Toyota Avalon Limited,206,155,57,Toyota,19,28,Automatic transmission,248,268,2010,True
2011 Toyota Camry,191,198,29,Toyota,22,33,Manual transmission,167,169,2011,True
2011 Toyota Camry AT,191,198,29,Toyota,22,32,Automatic transmission,167,169,2011,True
2011 Toyota Camry LE,191,198,29,Toyota,22,33,Manual transmission,167,169,2011,True
2011 Toyota Camry LE AT,191,198,29,Toyota,22,32,Automatic transmission,167,169,2011,True
2011 Toyota Camry LE V6,191,198,29,Toyota,20,29,Automatic transmission,248,268,2011,True
2011 Toyota Camry SE,186,198,29,Toyota,22,33,Manual transmission,171,179,2011,True
2011 Toyota Camry SE AT,186,198,29,Toyota,22,32,Automatic transmission,171,179,2011,True
2011 Toyota Camry SE V6,186,198,29,Toyota,20,29,Automatic transmission,248,268,2011,True
2011 Toyota Camry XLE,191,198,29,Toyota,22,32,Automatic transmission,167,169,2011,True
2011 Toyota Camry XLE V6,191,198,29,Toyota,20,29,Automatic transmission,248,268,2011,True
2012 Ford Focus S Sedan,185,181,31,Ford,26,36,Manual transmission,146,160,2012,True
2012 Ford Focus SE Sedan,185,181,31,Ford,26,36,Manual transmission,146,160,2012,True
2011 Ford Focus Sedan S,208,93,186,Ford,25,35,Manual transmission,136,140,2011,True
2011 Ford Focus Sedan S AT,208,93,186,Ford,25,34,Automatic transmission,136,140,2011,True
2011 Ford Focus Sedan SE,208,93,186,Ford,25,35,Manual transmission,136,140,2011,True
2011 Ford Focus Sedan SE AT,208,93,186,Ford,25,34,Automatic transmission,136,140,2011,True
2011 Ford Focus Sedan SES,208,93,186,Ford,25,35,Manual transmission,136,140,2011,True
2011 Ford Focus Sedan SES AT,208,93,186,Ford,25,34,Automatic transmission,136,140,2011,True
2011 Ford Focus Sedan SEL,208,93,186,Ford,25,34,Automatic transmission,136,140,2011,True
2010 Ford Focus Sedan S,208,93,186,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Sedan S AT,208,93,186,Ford,24,34,Automatic transmission,136,140,2010,True
2010 Ford Focus Sedan SE,208,93,186,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Sedan SE AT,208,93,186,Ford,24,34,Automatic transmission,136,140,2010,True
2010 Ford Focus Sedan SES,208,93,186,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Sedan SES AT,208,93,186,Ford,24,34,Automatic transmission,136,140,2010,True
2010 Ford Focus Sedan SEL,208,93,186,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Sedan SEL AT,208,93,186,Ford,24,34,Automatic transmission,136,140,2010,True
2011 Nissan Altima Coupe 2.5 S,139,242,3,Nissan,23,31,Manual transmission,180,175,2011,True
2011 Nissan Altima Coupe 3.5 SR,139,242,3,Nissan,18,27,Manual transmission,258,270,2011,True
2012 Volvo S80 T6 AWD,213,243,69,Volvo,18,26,Automatic transmission,325,300,2012,True
2012 Volvo S80 3.2,213,243,69,Volvo,20,29,Automatic transmission,236,240,2012,True
2012 Volvo XC60 T6 AWD R-Design,175,19,97,Volvo,17,23,Automatic transmission,354,325,2012,True
2012 Volvo XC60 3.2,175,19,97,Volvo,19,25,Automatic transmission,236,240,2012,True
2012 Volvo XC60 T6 AWD,175,19,97,Volvo,17,23,Automatic transmission,325,300,2012,True
2012 Volvo XC70 T6 AWD,66,230,69,Volvo,17,23,Automatic transmission,325,300,2012,True
2012 Volvo XC70 3.2,66,230,69,Volvo,19,25,Automatic transmission,236,240,2012,True
2012 Volvo XC90 3.2,247,200,105,Volvo,16,23,Automatic transmission,236,240,2012,True
2012 Volvo XC90 3.2 R-Design,247,200,105,Volvo,16,23,Automatic transmission,236,240,2012,True
2010 Nissan Altima Coupe 2.5 S,139,242,3,Nissan,23,32,Manual transmission,180,175,2010,True
2010 Nissan Altima Coupe 3.5 SR,139,242,3,Nissan,18,27,Manual transmission,258,270,2010,True
2010 Toyota Camry,191,197,29,Toyota,22,33,Manual transmission,167,169,2010,True
2010 Toyota Camry  AT,191,198,29,Toyota,22,32,Automatic transmission,167,169,2010,True
2010 Toyota Camry LE,191,198,29,Toyota,22,33,Manual transmission,167,169,2010,True
2010 Toyota Camry LE AT,191,198,29,Toyota,22,32,Automatic transmission,167,169,2010,True
2010 Toyota Camry LE V6,191,198,29,Toyota,19,28,Automatic transmission,248,268,2010,True
2010 Toyota Camry SE,186,198,29,Toyota,22,33,Manual transmission,171,179,2010,True
2010 Toyota Camry SE AT,186,198,29,Toyota,22,32,Automatic transmission,171,179,2010,True
2010 Toyota Camry SE V6,186,198,29,Toyota,19,28,Automatic transmission,248,268,2010,True
2010 Toyota Camry XLE,191,216,29,Toyota,22,32,Automatic transmission,167,169,2010,True
2010 Toyota Camry XLE V6,191,198,29,Toyota,19,28,Automatic transmission,248,268,2010,True
2010 Volvo XC90  R-Design,247,200,105,Volvo,15,22,Automatic transmission,236,235,2010,True
2011 Volvo XC90 R-Design,247,200,105,Volvo,16,22,Automatic transmission,236,240,2011,True
2010 Volvo XC60 T6 R-Design,175,19,97,Volvo,16,21,Automatic transmission,295,281,2010,True
2011 Volvo XC60 T6 R-Design,175,19,97,Volvo,17,22,Automatic transmission,325,300,2011,True
2011 Volvo XC60 3.2 R-Design,175,19,97,Volvo,18,25,Automatic transmission,236,240,2011,True
2010 Volvo V50 R-Design AT,193,169,234,Volvo,20,26,Automatic transmission,236,227,2010,True
2011 Volvo V50 R-Design,218,169,234,Volvo,21,30,Automatic transmission,236,227,2011,True
2012 Bentley Continental GT,124,198,152,Bentley,8,14,Automatic transmission,516,567,2012,True
2010 Bentley Continental GT,109,195,123,Bentley,10,17,Automatic transmission,479,552,2010,True
2010 Bentley Continental GT Speed,99,195,123,Bentley,10,17,Automatic transmission,553,600,2010,True
2010 Ford Focus Coupe SE,208,93,188,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Coupe SE AT,208,93,188,Ford,24,34,Automatic transmission,136,140,2010,True
2010 Ford Focus Coupe SES,208,93,188,Ford,24,35,Manual transmission,136,140,2010,True
2010 Ford Focus Coupe SES AT,208,93,188,Ford,24,34,Automatic transmission,136,140,2010,True
2011 Bentley Continental GTC Speed,109,195,135,Bentley,11,18,Automatic transmission,553,600,2011,True
2010 Bentley Continental GTC Speed,109,195,125,Bentley,10,17,Automatic transmission,553,600,2010,True
2010 Bentley Continental GTC,117,195,135,Bentley,10,17,Automatic transmission,479,552,2010,True
2010 Bentley Azure T,210,34,107,Bentley,9,15,Automatic transmission,738,500,2010,True
2011 Toyota Corolla,186,220,227,Toyota,28,35,Manual transmission,128,132,2011,True
2011 Toyota Corolla AT,186,220,227,Toyota,26,34,Automatic transmission,128,132,2011,True
2011 Toyota Corolla LE,186,220,227,Toyota,26,34,Automatic transmission,128,132,2011,True
2011 Toyota Corolla S,186,202,227,Toyota,28,35,Manual transmission,128,132,2011,True
2011 Toyota Corolla S AT,186,202,227,Toyota,26,34,Automatic transmission,128,132,2011,True
2010 Rolls-Royce Ghost,13,24,156,Rolls-Royce,13,20,Automatic transmission,575,563,2010,True
2011 Audi A5 Cabriolet 2.0 T Quattro,101,14,227,Audi,21,29,Automatic transmission,258,211,2011,True
2010 Audi A5 Cabriolet 2.0 T Quattro,103,17,228,Audi,20,26,Automatic transmission,258,211,2010,True
2010 Rolls-Royce Phantom Sedan,102,202,196,Rolls-Royce,11,18,Automatic transmission,531,453,2010,True
2010 Rolls-Royce Phantom Sedan EWB,104,202,196,Rolls-Royce,11,18,Automatic transmission,531,453,2010,True
2012 Audi A5 Coupe 2.0 T,92,17,189,Audi,21,31,Manual transmission,258,211,2012,True
2012 Audi A5 Coupe 2.0 T AT,92,17,189,Audi,21,29,Automatic transmission,258,211,2012,True
2010 Rolls-Royce Phantom Coupe,61,234,194,Rolls-Royce,11,18,Automatic transmission,531,453,2010,True
2011 Audi A5 Coupe 2.0 T AT,92,17,189,Audi,21,29,Automatic transmission,258,211,2011,True
2011 Audi A5 Coupe 2.0 T,92,17,189,Audi,21,31,Manual transmission,258,211,2011,True
2010 Audi A5 Coupe 2.0 T,92,17,62,Audi,22,30,Manual transmission,258,211,2010,True
2010 Audi A5 Coupe 3.2,92,17,62,Audi,18,27,Automatic transmission,243,265,2010,True
2010 Audi A5 Coupe 2.0 T AT,92,17,62,Audi,21,27,Automatic transmission,258,211,2010,True
2010 Rolls-Royce Phantom Drophead Coupe,43,232,194,Rolls-Royce,11,18,Automatic transmission,531,453,2010,True
2011 Rolls-Royce Ghost,13,24,156,Rolls-Royce,13,20,Automatic transmission,575,563,2011,True
2010 Honda Accord EX-L V-6 Sedan,195,71,54,Honda,19,29,Automatic transmission,254,271,2010,True
2011 Rolls-Royce Phantom Sedan,102,207,196,Rolls-Royce,11,18,Automatic transmission,531,453,2011,True
2011 Honda Accord LX Sedan,195,86,54,Honda,23,33,Manual transmission,161,177,2011,True
2011 Honda Accord LX Sedan AT,195,86,54,Honda,23,34,Automatic transmission,161,177,2011,True
2011 Honda Accord LX-P Sedan,195,86,54,Honda,23,34,Automatic transmission,161,177,2011,True
2011 Honda Accord SE Sedan,195,86,54,Honda,23,34,Automatic transmission,161,177,2011,True
2011 Honda Accord EX Sedan,195,86,54,Honda,23,33,Manual transmission,162,190,2011,True
2011 Honda Accord EX Sedan AT,195,86,54,Honda,23,34,Automatic transmission,162,190,2011,True
2011 Honda Accord EX V-6 Sedan,195,86,54,Honda,20,30,Automatic transmission,254,271,2011,True
2011 Honda Accord EX-L Sedan,195,86,54,Honda,23,34,Automatic transmission,162,190,2011,True
2011 Honda Accord EX-L V-6 Sedan,195,86,54,Honda,20,30,Automatic transmission,254,271,2011,True
2011 Rolls-Royce Phantom Sedan EWB,102,202,196,Rolls-Royce,11,18,Automatic transmission,531,453,2011,True
2011 Rolls-Royce Phantom Coupe,61,234,194,Rolls-Royce,11,18,Automatic transmission,531,453,2011,True
2011 Rolls-Royce Phantom Drophead Coupe,43,232,194,Rolls-Royce,11,18,Automatic transmission,531,453,2011,True
2011 Volkswagen Jetta SEL PZEV,172,19,242,Volkswagen,23,33,Manual transmission,177,170,2011,True
2011 Volkswagen Jetta SE PZEV AT,172,19,242,Volkswagen,24,31,Automatic transmission,177,170,2011,True
