Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
Fourth or above,7,3,8.0,Right-handed,On your left side
Second,8,10,6.0,Right-handed,On your right side
Third,7,5,8.0,Right-handed,On your right side
First,5,20,7.0,Right-handed,On your right side
Second,9,20,6.0,Right-handed,On your left side
Third,4,5,8.0,Right-handed,On your left side
First,5,1,8.0,Right-handed,On your right side
First,9,7,7.0,Right-handed,On your stomach
First,10,15,8.0,Right-handed,On your back
Fourth or above,7,5,6.0,Right-handed,On your right side
Fourth or above,3,3,8.0,Right-handed,On your left side
First,5,4,8.0,Right-handed,On your right side
Second,7,4,7.0,Right-handed,On your right side
First,5,5,7.0,Right-handed,On your stomach
First,7,10,6.0,Right-handed,On your left side
Third,5,10,7.0,Right-handed,On your right side
First,5,4,6.0,Right-handed,On your back
First,7,3,8.0,Right-handed,On your left side
First,7,10,8.0,Right-handed,On your right side
First,4,5,7.0,Right-handed,On your back
Second,4,7,8.0,Left-handed,On your back
Second,5,40,6.0,Right-handed,On your left side
Fourth or above,3,7,7.0,Right-handed,On your stomach
Third,2,3,7.0,Right-handed,On your right side
Second,7,20,7.0,Right-handed,On your left side
Fourth or above,6,6,8.0,Right-handed,On your left side
Third,5,0,7.0,Left-handed,On your left side
First,6,7,5.0,Left-handed,On your right side
First,6,7,7.0,Right-handed,On your left side
Second,6,5,8.0,Right-handed,On your back
First,7,5,8.0,Right-handed,On your right side
First,3,5,6.0,Right-handed,On your left side
Second,7,10,9.0,Right-handed,On your left side
Second,6,2,6.0,Right-handed,On your stomach
First,6,4,8.0,Right-handed,On your left side
First,4,2,7.0,Right-handed,On your left side
First,4,8,7.0,Right-handed,On your stomach
First,7,10,7.0,Right-handed,On your right side
Fourth or above,3,3,7.0,Right-handed,On your back
First,3,3,6.0,Right-handed,On your stomach
Second,6,5,8.0,Right-handed,On your stomach
First,9,5,7.0,Right-handed,On your stomach
First,8,3,8.0,Right-handed,On your left side
Third,5,3,8.0,Right-handed,On your back
Second,7,3,6.0,Right-handed,On your left side
First,6,13,8.0,Right-handed,On your left side
First,4,2,8.0,Right-handed,On your back
Fourth or above,2,1,4.0,Right-handed,On your left side
Second,8,8,7.0,Right-handed,On your back
First,5,3,7.0,Right-handed,On your left side
Second,1,5,8.0,Left-handed,On your back
Second,6,5,8.0,Right-handed,On your back
Third,4,2,6.0,Right-handed,On your left side
Fourth or above,8,6,7.0,Both,On your back
Second,5,2,6.0,Right-handed,On your left side
Second,5,7,7.0,Right-handed,On your back
Third,9,5,8.0,Right-handed,On your back
Third,2,3,7.0,Right-handed,On your stomach
First,10,15,6.0,Right-handed,On your right side
Second,3,4,7.0,Right-handed,On your back
Third,6,3,7.0,Right-handed,On your right side
First,3,3,8.0,Right-handed,On your left side
Second,2,3,7.0,Right-handed,On your stomach
Third,7,10,6.5,Right-handed,On your right side
First,4,25,7.0,Right-handed,On your right side
Second,6,3,7.0,Right-handed,On your right side
Second,6,20,8.0,Right-handed,On your left side
First,7,20,7.0,Right-handed,On your back
Second,8,15,7.0,Right-handed,On your left side
First,7,8,7.0,Right-handed,On your right side
Second,4,4,8.0,Right-handed,On your back
Second,8,5,8.0,Right-handed,On your left side
Third,3,5,9.0,Right-handed,On your stomach
Third,5,3,7.0,Right-handed,On your left side
First,8,10,8.0,Right-handed,On your right side
Second,7,5,6.0,Right-handed,On your left side
Second,8,6,8.0,Right-handed,On your stomach
First,2,3,8.0,Right-handed,On your left side
Second,4,4,7.0,Right-handed,On your right side
First,3,15,8.0,Right-handed,On your right side
Third,8,7,7.0,Right-handed,On your left side
First,8,8,6.0,Right-handed,On your back
First,5,10,6.0,Right-handed,On your right side
First,8,10,6.0,Right-handed,On your stomach
First,5,3,10.0,Right-handed,On your right side
Second,9,5,8.0,Left-handed,On your stomach
Second,7,4,5.0,Right-handed,On your back
First,3,15,7.0,Right-handed,On your right side
Fourth or above,7,6,8.0,Right-handed,On your stomach
Second,5,5,6.0,Right-handed,On your back
Second,7,15,8.0,Right-handed,On your left side
Third,9,3,5.0,Right-handed,On your right side
First,5,2,7.0,Right-handed,On your back
Third,2,3,6.75,Left-handed,On your back
Third,3,8,6.5,Right-handed,On your left side
First,3,2,8.0,Right-handed,On your back
First,8,13,7.0,Right-handed,On your right side
Third,9,4,8.5,Right-handed,On your right side
First,6,6,7.0,Left-handed,On your back
First,8,5,7.0,Left-handed,On your right side
Second,7,10,6.5,Right-handed,On your left side
Second,6,4,5.0,Right-handed,On your right side
First,8,25,7.0,Right-handed,On your right side
First,8,12,8.0,Right-handed,On your right side
Fourth or above,5,2,7.0,Right-handed,On your right side
Third,9,10,7.0,Right-handed,On your stomach
Third,8,4,8.0,Right-handed,On your left side
Second,8,7,7.0,Right-handed,On your left side
Second,8,8,8.0,Right-handed,On your left side
Fourth or above,3,5,9.0,Right-handed,On your stomach
First,7,10,9.0,Left-handed,On your back
Fourth or above,7,7,8.0,Right-handed,On your left side
First,6,4,5.0,Right-handed,On your right side
First,4,2,6.0,Right-handed,On your left side
First,6,4,9.0,Right-handed,On your stomach
First,8,4,8.0,Right-handed,On your back
First,7,10,6.0,Right-handed,On your left side
Second,7,13,6.0,Right-handed,On your left side
Fourth or above,3,2,7.0,Right-handed,On your back
Second,5,5,7.0,Right-handed,On your back
Third,5,3,7.0,Right-handed,On your back
First,4,3,5.0,Left-handed,On your stomach
First,7,11,8.0,Right-handed,On your back
Second,8,8,7.5,Right-handed,On your back
First,3,2,7.0,Right-handed,On your back
Third,4,5,7.0,Right-handed,On your left side
First,5,6,6.0,Right-handed,On your stomach
First,6,8,8.0,Right-handed,On your right side
Fourth or above,6,2,7.0,Right-handed,On your left side
First,6,6,7.0,Right-handed,On your right side
Fourth or above,5,5,8.0,Right-handed,On your right side
Second,7,5,6.5,Right-handed,On your left side
Second,4,5,7.0,Right-handed,On your left side
First,7,10,5.0,Right-handed,On your back
Third,5,8,7.0,Right-handed,On your stomach
Second,5,5,7.0,Right-handed,On your back
Fourth or above,8,2,7.0,Right-handed,On your left side
First,4,8,6.5,Right-handed,On your back
First,6,7,7.0,Right-handed,On your right side
Fourth or above,10,18,7.0,Right-handed,On your left side
Third,6,4,6.0,Right-handed,On your back
First,8,10,6.0,Right-handed,On your right side
Second,8,4,5.0,Left-handed,On your right side
Third,5,7,8.0,Right-handed,On your left side
First,2,2,6.0,Right-handed,On your back
First,6,10,8.0,Right-handed,On your right side
First,6,12,8.0,Right-handed,On your back
First,7,10,8.0,Right-handed,On your back
First,3,5,7.5,Right-handed,On your left side
Second,5,10,8.0,Right-handed,On your left side
First,4,3,6.0,Left-handed,On your stomach
Fourth or above,10,6,8.0,Right-handed,On your stomach
First,2,5,5.0,Right-handed,On your right side
First,3,7,7.0,Right-handed,On your right side
First,7,10,7.0,Right-handed,On your back
Third,6,5,8.0,Right-handed,On your back
First,8,8,7.0,Right-handed,On your left side
First,4,5,10.0,Right-handed,On your stomach
Second,6,3,7.0,Right-handed,On your back
Second,8,6,8.0,Right-handed,On your right side
Second,7,3,8.0,Right-handed,On your left side
Second,6,5,6.0,Right-handed,On your right side
First,9,5,7.5,Right-handed,On your right side
Fourth or above,7,15,8.0,Right-handed,On your back
Third,8,13,7.0,Right-handed,On your stomach
First,5,5,8.0,Left-handed,On your left side
Third,5,20,9.0,Right-handed,On your left side
Second,4,4,6.0,Right-handed,On your stomach
First,4,6,8.0,Right-handed,On your right side
First,7,7,8.0,Right-handed,On your back
Second,8,20,8.0,Right-handed,On your right side
First,3,4,9.0,Right-handed,On your left side
Second,7,5,7.0,Right-handed,On your right side
Second,6,10,7.0,Left-handed,On your back
First,7,20,8.0,Right-handed,On your back
Second,6,5,6.0,Right-handed,On your back
Fourth or above,5,5,9.0,Right-handed,On your left side
Third,5,5,8.0,Both,On your right side
Third,8,6,7.0,Right-handed,On your left side
First,9,6,5.0,Right-handed,On your left side
Third,3,5,7.0,Right-handed,On your back
Third,4,6,4.0,Both,On your back
First,3,10,6.0,Right-handed,On your left side
First,7,25,7.0,Right-handed,On your left side
Second,5,5,6.0,Right-handed,On your stomach
Second,1,10,7.0,Right-handed,On your left side
Fourth or above,5,6,7.0,Right-handed,On your back
First,4,10,6.5,Left-handed,On your right side
Second,9,15,7.0,Right-handed,On your left side
First,3,5,7.0,Right-handed,On your right side
First,7,7,9.0,Right-handed,On your left side
First,7,4,8.0,Right-handed,On your back
Third,5,3,7.0,Right-handed,On your left side
First,5,10,6.0,Right-handed,On your right side
Second,7,5,7.5,Right-handed,On your back
Second,5,7,6.0,Right-handed,On your stomach
Third,5,5,7.0,Right-handed,On your right side
Third,7,3,7.0,Right-handed,On your stomach
First,7,4,8.0,Right-handed,On your back
First,8,3,8.0,Right-handed,On your stomach
First,6,15,7.0,Right-handed,On your right side
First,5,5,5.0,Right-handed,On your right side
First,6,10,5.0,Left-handed,On your right side
Second,7,5,9.0,Right-handed,On your back
Third,7,5,6.5,Right-handed,On your left side
Second,3,2,10.0,Right-handed,On your right side
First,9,10,5.0,Right-handed,On your back
First,5,7,7.0,Right-handed,On your left side
Fourth or above,7,6,6.5,Right-handed,On your back
First,2,4,9.0,Right-handed,On your left side
Second,4,3,7.0,Right-handed,On your stomach
First,1,5,8.0,Left-handed,On your back
Third,7,5,7.0,Right-handed,On your left side
First,8,10,6.0,Right-handed,On your left side
First,7,11,5.0,Right-handed,On your left side
First,5,8,7.0,Right-handed,On your back
First,3,6,7.0,Right-handed,On your back
Third,6,7,8.0,Right-handed,On your back
First,4,8,8.0,Left-handed,On your left side
Fourth or above,4,5,10.0,Left-handed,On your back
First,8,15,6.0,Right-handed,On your back
First,8,15,9.0,Right-handed,On your left side
First,4,9,7.0,Left-handed,On your right side
First,1,3,5.0,Right-handed,On your right side
Third,3,4,8.0,Right-handed,On your left side
Third,7,25,7.0,Right-handed,On your back
First,5,15,7.0,Right-handed,On your left side
First,8,10,7.0,Right-handed,On your stomach
First,4,3,5.0,Right-handed,On your right side
Fourth or above,3,3,8.0,Right-handed,On your left side
First,9,10,9.0,Right-handed,On your left side
Third,6,10,8.0,Right-handed,On your back
Third,4,4,7.0,Right-handed,On your back
Third,3,1,7.0,Right-handed,On your right side
Third,8,4,6.0,Right-handed,On your stomach
Second,9,10,7.0,Right-handed,On your back
First,8,5,6.0,Right-handed,On your stomach
Second,6,6,8.0,Right-handed,On your right side
Third,5,4,5.0,Right-handed,On your back
Third,3,3,6.0,Right-handed,On your left side
Second,4,8,8.0,Right-handed,On your right side
Third,6,2,7.0,Right-handed,On your back
Fourth or above,2,7,6.0,Right-handed,On your back
Second,7,15,6.0,Right-handed,On your left side
Second,7,4,7.0,Right-handed,On your back
First,8,11,6.0,Right-handed,On your back
Fourth or above,8,3,7.0,Left-handed,On your left side
First,8,12,7.5,Right-handed,On your left side
Third,2,2,7.0,Right-handed,On your right side
Second,6,3,8.0,Right-handed,On your stomach
First,3,4,8.0,Right-handed,On your back
First,3,10,8.0,Right-handed,On your back
Second,5,4,7.0,Right-handed,On your stomach
First,4,35,7.0,Right-handed,On your left side
Second,10,3,7.5,Right-handed,On your back
First,8,6,8.0,Right-handed,On your right side
First,5,6,8.0,Right-handed,On your back
First,8,3,5.0,Right-handed,On your back
Second,8,5,6.0,Right-handed,On your left side
Third,3,10,6.5,Right-handed,On your right side
Second,2,5,8.0,Right-handed,On your right side
Third,1,2,5.0,Right-handed,On your left side
Second,7,2,5.0,Right-handed,On your back
Second,3,5,6.5,Right-handed,On your right side
First,4,1,7.0,Right-handed,On your stomach
Third,5,2,7.0,Right-handed,On your back
First,5,5,8.0,Right-handed,On your back
Second,8,10,7.0,Right-handed,On your right side
Second,6,2,7.0,Right-handed,On your right side
Third,3,8,5.0,Right-handed,On your right side
Third,4,8,7.0,Right-handed,On your right side
Second,8,12,7.0,Right-handed,On your right side
Second,8,20,7.5,Left-handed,On your stomach
Fourth or above,3,4,6.0,Right-handed,On your left side
Second,3,5,6.0,Right-handed,On your left side
Second,5,3,9.0,Left-handed,On your stomach
First,8,20,8.0,Right-handed,On your stomach
Fourth or above,3,3,8.0,Right-handed,On your back
Third,7,10,7.0,Right-handed,On your left side
Third,2,1,6.0,Right-handed,On your stomach
Fourth or above,4,3,7.0,Left-handed,On your left side
Third,7,8,7.0,Right-handed,On your left side
First,5,5,7.0,Right-handed,On your left side
Fourth or above,2,5,7.0,Right-handed,On your back
Fourth or above,4,10,7.0,Both,On your left side
Second,3,3,8.0,Right-handed,On your stomach
Third,6,8,8.0,Right-handed,On your right side
Second,8,15,6.0,Right-handed,On your stomach
Third,6,3,8.0,Right-handed,On your left side
Third,7,5,8.0,Right-handed,On your right side
Second,8,10,6.0,Right-handed,On your stomach
Third,6,4,6.0,Left-handed,On your back
Third,3,5,7.5,Right-handed,On your back
Second,8,2,7.5,Right-handed,On your left side
Fourth or above,6,5,8.0,Right-handed,On your stomach
First,7,7,7.0,Right-handed,On your stomach
Fourth or above,3,1,8.0,Right-handed,On your left side
Second,8,4,9.0,Right-handed,On your stomach
Second,7,7,7.0,Right-handed,On your left side
Second,10,10,6.0,Right-handed,On your stomach
First,4,5,7.0,Right-handed,On your stomach
First,5,5,8.0,Right-handed,On your left side
Third,4,4,7.0,Right-handed,On your left side
Second,7,3,7.5,Right-handed,On your right side
First,4,3,7.5,Right-handed,On your back
Fourth or above,4,8,7.0,Right-handed,On your back
Third,6,3,5.0,Right-handed,On your stomach
First,7,3,7.0,Right-handed,On your left side
Second,2,2,5.0,Right-handed,On your stomach
Third,8,5,8.0,Right-handed,On your left side
Second,8,6,9.0,Right-handed,On your left side
Third,8,7,7.0,Right-handed,On your back
Third,7,5,6.5,Right-handed,On your left side
Second,4,4,7.0,Right-handed,On your stomach
First,8,20,5.0,Right-handed,On your left side
Second,7,9,7.5,Right-handed,On your right side
Fourth or above,7,6,7.0,Right-handed,On your left side
Third,4,4,5.0,Right-handed,On your right side
Second,7,5,9.0,Right-handed,On your left side
First,7,10,6.0,Right-handed,On your right side
Second,7,5,7.0,Left-handed,On your left side
Second,6,8,8.0,Right-handed,On your right side
Second,5,10,5.0,Right-handed,On your right side
First,3,5,7.0,Right-handed,On your left side
Third,7,4,7.0,Right-handed,On your left side
Second,7,5,4.5,Right-handed,On your right side
First,7,4,6.0,Left-handed,On your back
First,9,6,8.0,Right-handed,On your left side
Third,5,4,7.0,Right-handed,On your right side
Second,7,2,6.0,Right-handed,On your right side
First,6,15,5.0,Right-handed,On your left side
Second,6,5,7.0,Right-handed,On your left side
Second,4,10,7.0,Right-handed,On your right side
Second,8,5,7.0,Right-handed,On your right side
Third,4,25,6.0,Right-handed,On your left side
Second,6,5,6.0,Right-handed,On your right side
First,8,15,7.0,Right-handed,On your left side
Third,8,3,7.0,Right-handed,On your right side
Third,2,15,5.0,Right-handed,On your left side
Third,8,20,7.0,Right-handed,On your left side
First,6,10,9.0,Right-handed,On your back
Second,4,5,8.0,Right-handed,On your right side
Second,3,4,7.0,Right-handed,On your right side
First,2,3,7.0,Right-handed,On your back
First,6,7,8.0,Right-handed,On your right side
First,3,10,6.0,Right-handed,On your right side
Second,8,4,8.0,Right-handed,On your left side
First,3,8,6.0,Right-handed,On your right side
Fourth or above,5,11,7.0,Right-handed,On your left side
Second,4,2,8.0,Left-handed,On your right side
First,9,8,7.5,Right-handed,On your left side
Third,8,7,8.0,Right-handed,On your right side
First,5,8,8.0,Left-handed,On your right side
Second,3,7,6.0,Right-handed,On your right side
Second,1,1,6.0,Right-handed,On your right side
First,7,3,7.0,Right-handed,On your stomach
Second,8,8,6.5,Right-handed,On your back
Second,6,15,4.0,Right-handed,On your stomach
Second,1,1,8.0,Right-handed,On your right side
Second,5,20,8.0,Right-handed,On your right side
First,6,5,7.0,Right-handed,On your left side
Fourth or above,3,4,7.0,Right-handed,On your right side
Second,8,2,6.0,Right-handed,On your left side
First,7,15,7.0,Right-handed,On your back
Third,8,5,6.0,Right-handed,On your right side
First,4,8,8.0,Left-handed,On your back
First,10,4,6.0,Right-handed,On your back
Third,5,6,5.0,Right-handed,On your right side
First,4,6,8.0,Right-handed,On your left side
Third,7,6,6.5,Right-handed,On your right side
Third,4,3,8.0,Right-handed,On your back
First,7,15,7.0,Right-handed,On your back
Second,3,4,8.5,Right-handed,On your back
Third,6,5,8.0,Right-handed,On your stomach
Second,10,4,8.0,Right-handed,On your back
Second,3,7,6.0,Right-handed,On your back
Second,6,3,9.0,Right-handed,On your back
First,6,3,7.0,Right-handed,On your right side
First,5,8,6.0,Right-handed,On your left side
Third,8,6,5.0,Right-handed,On your left side
Second,6,5,5.0,Right-handed,On your left side
Fourth or above,8,10,7.0,Right-handed,On your right side
First,6,10,7.0,Right-handed,On your stomach
Second,1,1,7.0,Right-handed,On your right side
Fourth or above,3,4,7.0,Right-handed,On your left side
First,6,15,7.0,Right-handed,On your left side
Third,5,6,6.0,Right-handed,On your right side
First,6,10,8.0,Right-handed,On your right side
First,7,6,7.0,Right-handed,On your back
First,8,5,7.0,Right-handed,On your stomach
Second,7,4,7.5,Right-handed,On your right side
First,4,4,8.0,Right-handed,On your right side
Fourth or above,8,25,8.0,Left-handed,On your left side
Third,5,2,7.0,Right-handed,On your left side
Third,8,15,7.0,Left-handed,On your back
Third,5,2,8.0,Right-handed,On your back
Third,3,5,6.0,Right-handed,On your right side
Second,3,5,7.0,Right-handed,On your left side
First,3,2,8.5,Right-handed,On your back
First,4,6,8.0,Right-handed,On your back
First,7,10,6.5,Right-handed,On your back
Fourth or above,3,10,7.0,Right-handed,On your right side
Second,8,6,8.0,Right-handed,On your right side
Third,7,2,7.0,Right-handed,On your stomach
First,8,5,8.0,Right-handed,On your right side
Second,8,15,9.0,Right-handed,On your stomach
Third,7,3,6.5,Both,On your back
First,4,2,6.0,Right-handed,On your left side
First,10,15,7.0,Right-handed,On your right side
First,8,10,9.0,Right-handed,On your stomach
Fourth or above,4,2,8.0,Right-handed,On your left side
Third,10,16,7.0,Right-handed,On your left side
First,3,5,7.0,Right-handed,On your left side
Second,5,8,8.0,Right-handed,On your stomach
Second,8,8,6.0,Right-handed,On your right side
Second,3,2,8.0,Both,On your right side
Second,7,15,7.0,Right-handed,On your right side
First,6,8,7.0,Right-handed,On your left side
Second,6,5,6.0,Right-handed,On your left side
First,8,25,6.0,Left-handed,On your right side
Second,8,30,6.0,Right-handed,On your right side
First,7,5,8.0,Right-handed,On your back
Third,7,6,8.0,Left-handed,On your back
Third,7,3,6.0,Right-handed,On your right side
First,8,10,7.0,Right-handed,On your left side
Fourth or above,3,1,7.0,Right-handed,On your right side
Second,7,20,8.0,Right-handed,On your stomach
First,5,5,7.5,Right-handed,On your left side
Second,5,5,6.0,Right-handed,On your right side
Second,3,4,7.0,Right-handed,On your right side
First,8,15,7.0,Right-handed,On your right side
Third,5,3,7.0,Right-handed,On your right side
First,7,20,8.0,Right-handed,On your back
Second,9,20,8.0,Right-handed,On your back
Second,8,20,6.0,Both,On your stomach
First,7,4,7.0,Left-handed,On your back
Fourth or above,7,5,7.0,Left-handed,On your left side
First,3,2,7.0,Right-handed,On your left side
Third,3,6,5.0,Right-handed,On your back
First,7,10,6.0,Right-handed,On your stomach
Second,7,8,6.0,Right-handed,On your left side
Fourth or above,4,3,7.0,Right-handed,On your left side
Third,3,5,6.0,Right-handed,On your right side
Fourth or above,9,5,8.0,Right-handed,On your right side
First,8,4,7.0,Right-handed,On your right side
First,5,6,8.0,Both,On your right side
First,8,30,8.0,Right-handed,On your stomach
Third,7,10,8.0,Right-handed,On your right side
First,9,10,6.0,Right-handed,On your back
First,7,3,8.0,Right-handed,On your left side
First,7,5,7.0,Right-handed,On your right side
Second,6,5,8.0,Right-handed,On your left side
First,1,3,7.0,Right-handed,On your right side
Second,6,5,7.0,Right-handed,On your left side
Fourth or above,7,9,7.0,Right-handed,On your left side
Third,6,15,7.5,Right-handed,On your stomach
Fourth or above,8,7,7.0,Right-handed,On your right side
First,9,5,9.0,Right-handed,On your left side
First,8,8,8.0,Right-handed,On your right side
First,3,3,7.0,Right-handed,On your right side
Third,8,15,6.0,Right-handed,On your left side
Second,4,4,6.0,Right-handed,On your stomach
First,9,15,7.0,Right-handed,On your stomach
Second,6,8,5.5,Right-handed,On your back
First,5,8,7.0,Right-handed,On your back
Second,7,5,7.0,Right-handed,On your right side
Second,3,2,8.0,Right-handed,On your left side
First,7,6,6.0,Right-handed,On your left side
Third,6,4,9.0,Right-handed,On your left side
First,5,3,8.0,Right-handed,On your back
Second,8,6,6.0,Right-handed,On your right side
First,8,5,8.0,Right-handed,On your right side
Second,4,5,5.0,Right-handed,On your left side
