county,state,population,housing_units,urban_pct,low_access_1,low_access_10,low_access_20,carless_pct
Atascosa,TX,44911,15246,37.5,32821,3101,24,4.8
Atchison,KS,16924,6241,75.0,8524,1449,0,7.8
Atchison,MO,5685,2498,0.0,2821,297,0,5.9
Athens,OH,64757,23578,33.33333333333333,40286,2137,0,8.6
Atkinson,GA,8375,2983,0.0,6832,1925,0,9.5
Atlantic,NJ,274549,102847,82.6086956521739,153364,713,0,14.1
Atoka,OK,14182,5391,0.0,11826,5911,96,6.2
Attala,MS,19564,7619,33.33333333333333,12593,1561,0,8.7
Audrain,MO,25529,9590,42.857142857142854,15347,1240,0,7.6
Audubon,IA,6119,2617,0.0,4300,253,0,4.5
Auglaize,OH,45949,17972,45.454545454545446,20455,0,0,4.7
Augusta,VA,73750,28516,30.76923076923077,60913,1863,0,3.4
Aurora,SD,2710,1102,0.0,2710,2706,2210,1.0
Austin,TX,28417,10837,0.0,20356,2352,0,2.8
Autauga,AL,54571,20221,58.333333333333336,37255,7176,0,4.5
Avery,NC,17797,6664,0.0,14766,0,0,4.1
Avoyelles,LA,42073,15432,22.22222222222222,32935,2026,0,9.7
Baca,CO,3788,1685,0.0,1554,955,297,4.5
Bacon,GA,11096,4214,0.0,8146,353,0,6.4
Bailey,TX,7165,2468,0.0,2307,465,10,6.1
Baker,FL,27115,8772,50.0,23365,4546,50,4.0
Baker,GA,3451,1372,0.0,3451,2651,0,6.8
Baker,OR,16134,7040,33.33333333333333,8685,3915,2110,7.5
Baldwin,AL,182265,73180,45.16129032258064,138070,3265,5,3.0
Baldwin,GA,45720,16788,55.55555555555556,29461,61,0,7.8
Ballard,KY,8249,3397,0.0,7373,498,0,3.3
Baltimore,MD,805029,316715,92.52336448598132,217512,0,0,29.8
Baltimore,MD,805029,316715,92.52336448598132,217512,0,0,7.9
Bamberg,SC,15987,6048,25.0,10060,365,0,11.7
Bandera,TX,20485,8564,0.0,18031,2576,714,2.2
Banks,GA,18395,6700,0.0,18287,1151,0,5.1
Banner,NE,690,293,0.0,690,690,298,3.8
Bannock,ID,82839,30682,81.81818181818183,35788,4805,8,5.9
Baraga,MI,8860,3444,0.0,5726,1320,108,5.5
Barber,KS,4861,2139,0.0,1820,555,10,4.1
Barbour,AL,27457,9820,22.22222222222222,18180,5311,0,9.3
Barbour,WV,16589,6548,25.0,12002,118,0,9.9
Barnes,ND,11066,4826,50.0,4856,2905,663,7.4
Barnstable,MA,215888,95755,84.21052631578947,133268,0,0,5.7
Barnwell,SC,22621,8937,0.0,15306,6,0,11.7
Barren,KY,42173,16999,30.0,26399,2135,0,6.3
Barron,WI,45870,19173,30.0,29829,1747,0,5.5
Barrow,GA,69367,23971,61.111111111111114,50700,0,0,3.7
Barry,MI,59173,22551,0.0,46058,14,0,4.8
Barry,MO,35597,14057,28.57142857142857,26516,169,0,4.4
Bartholomew,IN,76794,29860,73.33333333333333,43108,1120,0,4.9
Barton,KS,27674,11283,75.0,12277,2921,0,5.7
Barton,MO,12402,4929,33.33333333333333,8526,1928,0,6.0
Bartow,GA,100157,35782,40.0,80764,0,0,4.6
Bastrop,TX,74171,25840,30.0,68625,16660,0,4.0
Bates,MO,17049,6744,25.0,10304,700,0,5.9
Bath,KY,11591,4587,0.0,10147,15,0,10.2
Bath,VA,4731,2162,0.0,4434,979,0,5.0
Baxter,AR,41513,18748,33.33333333333333,29704,859,0,4.3
Bay,FL,168852,68438,79.54545454545455,82480,6062,0,6.4
Bay,MI,107771,44603,61.53846153846154,51422,63,0,8.3
Bayfield,WI,15014,6686,0.0,11825,3779,28,4.7
Baylor,TX,3726,1669,0.0,1176,277,0,1.4
Beadle,SD,17398,7276,66.66666666666666,6275,2621,165,7.7
Bear Lake,ID,5986,2281,0.0,3583,1549,262,2.0
Beaufort,NC,47759,19941,27.27272727272727,33496,2153,0,7.8
Beaufort,SC,162233,64945,68.29268292682927,103205,795,0,4.9
Beauregard,LA,35654,13159,57.14285714285714,28167,12284,0,6.2
Beaver,OK,5636,2192,0.0,4054,2220,136,3.3
Beaver,PA,170539,71383,70.58823529411765,114381,0,0,9.3
Beaver,UT,6629,2265,0.0,2596,953,3,2.4
Beaverhead,MT,9246,4014,33.33333333333333,4918,1707,1442,5.9
Becker,MN,32504,13224,20.0,26510,10069,328,6.1
Beckham,OK,22119,8163,50.0,9135,442,0,4.2
Bedford,PA,49762,20233,27.27272727272727,40660,5076,0,6.6
Bedford,TN,45058,16530,33.33333333333333,31132,900,0,7.0
Bedford,VA,68676,27465,12.5,61009,1076,0,4.6
Bee,TX,31861,9042,57.14285714285714,20793,3701,0,7.4
Belknap,NH,60088,24766,26.666666666666668,47599,0,0,6.0
Bell,KY,28691,11787,22.22222222222222,20663,1138,0,16.7
Bell,TX,310235,114035,78.46153846153847,205876,5720,0,5.5
Belmont,OH,70400,28679,60.0,44312,272,0,8.1
Beltrami,MN,44442,16846,30.0,31980,5699,476,6.9
Ben Hill,GA,17634,6794,40.0,10908,397,0,16.0
Benewah,ID,9285,3837,0.0,5761,2150,0,5.9
Bennett,SD,3431,1090,0.0,3431,3319,2392,7.5
Bennington,VT,37125,15470,16.666666666666664,25443,131,0,6.2
Benson,ND,6660,2233,0.0,6659,3053,1570,7.9
Bent,CO,6499,1832,0.0,3678,808,54,5.2
Benton,AR,221339,82087,61.224489795918366,140084,691,0,2.9
Benton,IA,26076,10302,14.285714285714285,18719,3719,0,4.2
Benton,IN,8854,3479,0.0,4720,106,0,4.4
Benton,MN,38451,15079,55.55555555555556,24526,1171,0,8.1
Benton,MO,19056,8449,0.0,15577,1199,0,6.3
Benton,MS,8729,3404,0.0,8110,3094,0,4.5
Benton,OR,85579,34317,77.77777777777779,32068,2705,50,7.6
Benton,TN,16489,7063,20.0,12440,1165,0,7.0
Benton,WA,175177,65304,75.67567567567568,64008,294,0,5.0
Benzie,MI,17525,7298,0.0,14458,0,0,4.3
Bergen,NJ,905116,335730,99.4413407821229,109962,0,0,8.2
Berkeley,SC,177843,65419,62.22222222222222,96080,7936,35,4.5
Berkeley,WV,104169,39855,64.28571428571429,76421,0,0,5.9
Berks,PA,411442,154356,75.55555555555556,169723,0,0,8.9
Berkshire,MA,131219,56091,56.41025641025641,70212,2572,0,10.2
Bernalillo,NM,662564,266000,94.77124183006535,179965,3592,0,6.8
Berrien,GA,19286,7443,0.0,15445,2159,0,8.6
Berrien,MI,156813,63054,60.416666666666664,84650,0,0,8.7
Bertie,NC,21282,8359,25.0,19860,1876,0,9.9
Bethel,AK,17013,4651,33.33333333333333,16610,9611,7511,56.2
Bexar,TX,1714773,608931,92.89617486338798,744590,10412,0,7.7
Bibb,AL,22915,7953,0.0,18058,293,0,5.3
Bibb,GA,155547,60295,88.63636363636364,61870,0,0,12.5
Bienville,LA,14353,5838,20.0,11592,2943,0,11.3
Big Horn,MT,12865,4004,0.0,9021,5483,966,4.9
Big Horn,WY,11668,4561,0.0,5983,2176,218,3.5
Big Stone,MN,5269,2293,0.0,3613,2490,0,8.1
Billings,ND,783,358,0.0,782,782,696,1.7
Bingham,ID,45607,14999,37.5,32514,1937,68,4.5
Black Hawk,IA,131090,52470,81.57894736842105,50069,2746,0,6.9
Blackford,IN,12766,5236,50.0,6682,15,0,7.6
Bladen,NC,35190,14430,16.666666666666664,29002,1742,0,8.7
Blaine,ID,21376,8823,0.0,12563,1722,565,3.0
Blaine,MT,6491,2357,0.0,4312,2207,1877,11.2
Blaine,NE,478,196,0.0,477,477,477,3.9
Blaine,OK,11943,3959,20.0,8974,4867,0,5.0
Blair,PA,127089,52159,76.47058823529412,53847,0,0,9.8
Blanco,TX,10497,4309,0.0,8999,1047,0,3.2
Bland,VA,6824,2566,0.0,6807,2752,0,5.6
Bleckley,GA,13063,4660,33.33333333333333,7604,246,0,6.7
Bledsoe,TN,12876,4697,0.0,11194,598,0,7.3
Blount,AL,57322,21578,11.11111111111111,51292,33,0,3.7
Blount,TN,123010,49265,46.42857142857143,89987,18,0,4.2
Blue Earth,MN,64013,24445,62.5,40933,1576,0,7.0
Boise,ID,7028,2974,0.0,7027,6327,3381,2.7
Bolivar,MS,34145,12727,50.0,23463,6778,0,13.5
Bollinger,MO,12363,4847,0.0,11237,3577,0,4.5
Bon Homme,SD,7070,2457,0.0,7070,6208,1038,4.0
Bond,IL,17768,6427,25.0,13229,1199,0,7.9
Bonner,ID,40877,17100,11.11111111111111,30100,6004,577,5.2
Bonneville,ID,104234,36629,85.71428571428571,51355,1174,488,4.8
Boone,AR,36903,15120,28.57142857142857,29341,5929,0,5.9
Boone,IA,26306,10728,42.857142857142854,11908,303,0,4.1
Boone,IL,54165,18505,71.42857142857143,28344,0,0,4.1
Boone,IN,56640,21149,50.0,33093,15,0,4.1
Boone,KY,118811,43216,81.81818181818183,70501,0,0,3.6
Boone,MO,162642,64077,82.75862068965517,97191,2845,0,5.8
Boone,NE,5505,2336,0.0,3028,1587,4,3.5
Boone,WV,24629,9928,0.0,20514,267,0,12.5
Borden,TX,641,264,0.0,641,641,431,0.8
Bosque,TX,18212,7254,14.285714285714285,12332,4234,0,3.0
Bossier,LA,116979,45215,72.72727272727273,67759,1707,0,5.7
Botetourt,VA,33148,13126,25.0,27754,834,0,3.7
Bottineau,ND,6429,2832,0.0,4127,2991,1442,2.5
Boulder,CO,294567,119300,86.76470588235294,82750,621,0,5.4
Boundary,ID,10972,4421,0.0,8532,1795,186,5.7
Bourbon,KS,15173,5986,40.0,7895,2436,1,5.6
Bourbon,KY,19985,7976,33.33333333333333,11086,0,0,7.6
Bowie,TX,92565,34669,66.66666666666666,57880,2360,0,7.0
Bowman,ND,3151,1385,0.0,1431,939,82,4.6
Box Butte,NE,11308,4738,66.66666666666666,5173,1726,342,3.3
Box Elder,UT,49975,16058,54.54545454545454,26059,1847,697,4.4
Boyd,KY,49542,19787,76.92307692307693,26404,0,0,8.8
Boyd,NE,2099,942,0.0,2099,2099,1623,5.2
Boyle,KY,28432,11075,42.857142857142854,16042,0,0,6.3
Bracken,KY,8488,3317,0.0,7661,47,0,7.1
Bradford,FL,28520,9479,0.0,21174,99,0,9.2
Bradford,PA,62622,25321,28.57142857142857,45908,3353,0,5.9
Bradley,AR,11508,4673,0.0,5856,569,0,10.2
Bradley,TN,98963,37947,78.94736842105263,63326,38,0,5.9
Branch,MI,45248,16419,33.33333333333333,34115,3215,0,6.2
Brantley,GA,18411,6885,0.0,17238,2705,0,3.8
Braxton,WV,14523,6000,0.0,13813,2987,0,11.7
Brazoria,TX,313166,106589,56.86274509803921,178219,5702,0,3.5
Brazos,TX,194851,71739,83.33333333333334,108453,1853,0,6.2
Breathitt,KY,13878,5494,14.285714285714285,11187,680,0,12.9
Breckinridge,KY,20059,7827,0.0,16061,1961,0,6.5
Bremer,IA,24276,9385,25.0,12387,233,0,3.2
Brevard,FL,543376,229692,91.1504424778761,270133,214,0,5.5
Brewster,TX,9232,4207,66.66666666666666,4679,1884,1754,4.9
Briscoe,TX,1637,692,0.0,1637,1637,1474,4.6
Bristol Bay,AK,997,423,0.0,873,434,0,10.9
Bristol,MA,548285,213010,85.71428571428571,242127,0,0,11.0
Bristol,RI,49875,19150,100.0,27936,0,0,6.0
Bristol,VA,17835,7879,100.0,5245,0,0,13.8
Broadwater,MT,5612,2347,0.0,3545,1493,551,2.6
Bronx,NY,1385108,483449,99.70501474926252,14819,0,0,59.4
Brooke,WV,24069,10020,33.33333333333333,15353,0,0,10.4
Brookings,SD,31965,12029,66.66666666666666,20819,3869,112,3.9
Brooks,GA,16243,6457,20.0,11869,1097,0,8.4
Brooks,TX,7223,2642,50.0,2659,456,288,11.1
Broome,NY,200600,82167,67.27272727272727,93195,0,0,12.4
Broomfield,CO,55889,21414,88.88888888888889,12890,0,0,3.5
Broward,FL,1748066,686047,99.16897506925208,220533,0,0,7.7
Brown,IL,6937,2099,50.0,4804,117,0,5.5
Brown,IN,15242,6199,0.0,13769,450,0,2.6
Brown,KS,9984,4094,33.33333333333333,5125,309,0,6.7
Brown,MN,25893,10782,62.5,15122,479,0,5.4
Brown,NE,3145,1449,0.0,1315,317,81,4.9
Brown,OH,44846,17014,11.11111111111111,38842,0,0,6.0
Brown,SD,36531,15489,75.0,18800,3262,684,5.8
Brown,TX,38106,14778,50.0,27650,4239,0,7.1
Brown,WI,248007,98383,85.18518518518519,113819,0,0,5.8
Brule,SD,5255,2136,0.0,3219,1820,164,4.1
Brunswick,NC,107431,46297,42.42424242424242,82863,1178,0,4.2
Brunswick,VA,17434,6366,40.0,15324,1539,0,10.2
Bryan,GA,30233,10738,28.57142857142857,20407,356,0,2.9
Bryan,OK,42416,16838,45.454545454545446,29509,6368,683,6.0
Buchanan,IA,20958,8161,16.666666666666664,13252,1849,0,6.4
Buchanan,MO,89201,34509,84.0,30285,1171,0,9.4
Buchanan,VA,24098,9968,0.0,22884,1356,0,7.3
Buckingham,VA,17146,5965,0.0,16544,2075,0,7.1
Bucks,PA,625249,234849,86.01398601398601,280585,0,0,4.3
Buena Vista,IA,20260,7522,33.33333333333333,11108,1287,0,5.2
Buena Vista,VA,6650,2603,100.0,6649,0,0,12.2
Buffalo,NE,46102,18037,63.63636363636363,21790,9247,376,4.5
Buffalo,SD,1912,532,0.0,908,350,75,8.8
Buffalo,WI,13587,5708,0.0,11031,3351,0,4.5
Bullitt,KY,74319,27673,66.66666666666666,45959,1587,0,2.8
Bulloch,GA,70217,25575,50.0,45724,2277,0,6.2
Bullock,AL,10914,3745,33.33333333333333,7362,2465,0,20.1
Buncombe,NC,238318,100412,71.42857142857143,129965,272,0,6.5
Bureau,IL,34978,14262,30.0,28592,6564,0,5.7
Burke,GA,23316,8533,16.666666666666664,16473,1776,0,8.5
Burke,NC,90912,35804,44.44444444444444,69898,338,0,6.3
Burke,ND,1968,913,0.0,1967,1967,1434,4.9
Burleigh,ND,81308,33976,73.68421052631578,39357,2406,1066,5.0
Burleson,TX,17187,6822,20.0,13920,1624,0,4.0
Burlington,NJ,448734,166318,89.47368421052632,219927,379,0,4.9
Burnet,TX,42750,16511,25.0,33587,5055,0,4.3
Burnett,WI,15457,6807,0.0,12826,1564,0,4.4
Burt,NE,6858,2906,0.0,5066,3021,0,4.8
Butler,AL,20947,8491,22.22222222222222,13166,1307,0,8.6
Butler,IA,14867,6120,0.0,13024,6747,0,3.8
Butler,KS,65880,23992,53.84615384615385,39887,5243,190,5.1
Butler,KY,12690,5057,0.0,10122,1488,0,8.8
Butler,MO,42794,17614,50.0,26465,3852,0,8.2
Butler,NE,8395,3391,33.33333333333333,5487,1350,0,3.2
Butler,OH,368130,135960,88.75,169957,0,0,5.4
Butler,PA,183862,72835,56.81818181818182,124573,30,0,6.0
Butte,CA,220000,87618,74.50980392156863,91724,1257,0,7.0
Butte,ID,2891,1129,0.0,1792,605,212,2.3
Butte,SD,10110,4160,50.0,4944,2320,978,8.5
Butts,GA,23655,7881,33.33333333333333,19317,1,0,5.3
Cabarrus,NC,178011,65666,75.67567567567568,97364,0,0,4.7
Cabell,WV,96319,41223,79.3103448275862,35221,0,0,13.7
Cache,UT,112656,34722,73.07692307692307,61789,933,0,4.0
Caddo,LA,254969,102139,82.8125,130522,6304,0,10.4
Caddo,OK,29600,10645,12.5,21946,9327,552,6.3
Calaveras,CA,45578,18886,20.0,34023,98,62,4.1
Calcasieu,LA,192768,73996,90.90909090909092,90190,1739,0,6.7
Caldwell,KY,12984,5393,0.0,8351,87,0,6.2
Caldwell,LA,10132,3905,0.0,7487,1134,0,12.3
Caldwell,MO,9424,3676,0.0,6928,1759,0,4.1
Caldwell,NC,83029,33388,52.94117647058824,61807,311,0,4.9
Caldwell,TX,38066,12301,50.0,27119,2101,2,5.1
Caledonia,VT,31227,12553,0.0,21117,1903,0,6.5
Calhoun,AL,118572,47331,67.74193548387096,70224,0,0,5.9
Calhoun,AR,5368,2262,0.0,5367,3507,0,6.2
Calhoun,FL,14625,5061,33.33333333333333,12083,2587,0,8.3
Calhoun,GA,6694,2002,0.0,5125,930,0,13.6
Calhoun,IA,9670,4242,0.0,8022,4598,0,5.0
Calhoun,IL,5089,2085,0.0,4316,792,0,5.0
Calhoun,MI,136146,54016,69.23076923076923,72874,3451,0,8.4
Calhoun,MS,14962,5988,0.0,11106,530,0,8.4
Calhoun,SC,15175,6080,0.0,13414,118,0,7.6
Calhoun,TX,21381,7766,50.0,12897,2060,0,4.9
Calhoun,WV,7627,3268,0.0,6833,1843,0,10.5
Callahan,TX,13544,5447,33.33333333333333,10706,1294,0,3.3
Callaway,MO,44332,16333,25.0,32121,2984,0,5.1
Calloway,KY,37191,15530,33.33333333333333,22619,2043,0,7.6
Calumet,WI,48971,18575,54.54545454545454,29109,0,0,3.2
Calvert,MD,88737,30873,50.0,70129,0,0,3.8
Camas,ID,1117,487,0.0,1116,1116,926,1.6
Cambria,PA,143679,58950,66.66666666666666,76565,0,0,10.5
Camden,GA,50513,18047,60.0,34820,2372,0,4.5
Camden,MO,44002,19068,18.181818181818183,36728,2886,0,4.1
Camden,NC,9980,3675,0.0,9972,374,0,2.7
Camden,NJ,513657,190980,98.42519685039369,145823,0,0,11.7
Cameron,LA,6839,2575,0.0,5780,1681,370,0.7
Cameron,PA,5085,2273,50.0,2545,348,0,8.8
Cameron,TX,406220,119631,83.72093023255815,205588,381,0,7.9
Camp,TX,12401,4678,33.33333333333333,8774,110,0,6.8
Campbell,KY,90336,36069,88.0,45642,0,0,8.7
Campbell,SD,1466,694,0.0,1465,1368,945,2.9
Campbell,TN,40716,16354,18.181818181818183,27795,541,0,8.4
Campbell,VA,54842,22441,33.33333333333333,43861,255,0,4.8
Campbell,WY,46133,17172,71.42857142857143,28283,3777,895,3.0
Canadian,OK,115541,42434,75.86206896551724,67424,3457,0,3.0
Candler,GA,10998,4041,0.0,8394,150,0,10.1
Cannon,TN,13801,5472,0.0,10872,304,0,5.9
Canyon,ID,188923,63604,72.41379310344827,104225,1233,0,4.6
Cape Girardeau,MO,75674,29848,68.75,44619,2706,0,7.4
Cape May,NJ,97265,40812,71.875,55156,156,0,9.0
Carbon,MT,10078,4571,0.0,7426,3620,28,2.3
Carbon,PA,65249,26684,33.33333333333333,39831,0,0,8.2
Carbon,UT,21403,7978,40.0,11382,1762,1187,6.3
Carbon,WY,15885,6388,40.0,11474,3792,2774,3.4
Caribou,ID,6963,2606,0.0,4660,1693,152,5.6
Carlisle,KY,5104,2116,0.0,4259,344,0,6.6
Carlton,MN,35386,13538,28.57142857142857,24858,4249,57,5.4
Caroline,MD,33066,12158,22.22222222222222,25995,0,0,6.4
Caroline,VA,28545,10456,0.0,26289,1431,0,5.8
Carroll,AR,27446,11393,20.0,18173,1336,0,5.7
Carroll,GA,110527,39187,64.70588235294117,85466,0,0,6.1
Carroll,IA,20816,8683,33.33333333333333,8869,494,0,5.4
Carroll,IL,15387,6622,16.666666666666664,11892,924,0,4.5
Carroll,IN,20155,7900,14.285714285714285,14947,45,0,4.2
Carroll,KY,10811,4061,0.0,9242,0,0,8.1
Carroll,MD,167134,59786,52.63157894736842,113935,0,0,4.5
Carroll,MO,9295,3865,33.33333333333333,5388,2044,0,6.5
Carroll,MS,10597,4188,0.0,10596,4839,0,4.1
Carroll,NH,47818,21052,0.0,40524,276,0,3.9
Carroll,OH,28836,11385,14.285714285714285,22033,351,0,6.4
Carroll,TN,28522,11507,12.5,21855,1203,0,7.3
Carroll,VA,30042,12831,0.0,27809,1499,0,5.9
Carson City,NV,55274,21427,85.71428571428571,13035,0,0,7.4
Carson,TX,6182,2452,0.0,3765,2686,0,2.6
Carter,KY,27720,10760,14.285714285714285,20283,47,0,6.2
Carter,MO,6265,2559,0.0,5393,3073,0,11.7
Carter,MT,1160,532,0.0,1159,1159,1159,3.8
Carter,OK,47557,18635,45.454545454545446,26807,1914,0,5.7
Carter,TN,57424,24197,64.70588235294117,42725,1146,0,5.8
Carteret,NC,66469,28870,57.89473684210527,44865,112,0,5.5
Carver,MN,91042,32891,73.68421052631578,51891,0,0,4.1
Cascade,MT,81327,33809,77.27272727272727,31552,6019,2910,7.5
Casey,KY,15955,6351,0.0,13723,967,0,7.4
Cass,IA,13956,5980,40.0,6801,2836,0,9.2
Cass,IL,13642,5270,40.0,5436,1457,0,6.1
Cass,IN,38966,14858,45.454545454545446,19124,960,0,7.3
Cass,MI,52293,20604,18.181818181818183,42039,1,0,4.6
Cass,MN,28567,11948,0.0,24527,4771,0,6.0
Cass,MO,99478,37150,60.0,65637,3406,0,3.1
Cass,ND,149778,63899,84.84848484848484,42721,9151,1738,6.6
Cass,NE,25241,9698,16.666666666666664,18819,6463,0,4.0
Cass,TX,30464,12429,28.57142857142857,21574,1391,0,7.3
Cassia,ID,22952,7666,16.666666666666664,13752,4460,2669,4.6
Castro,TX,8062,2744,33.33333333333333,2772,770,0,3.6
Caswell,NC,23719,9190,0.0,23357,2513,0,8.4
Catahoula,LA,10407,3834,0.0,8420,2110,0,7.0
Catawba,NC,154358,60887,64.51612903225806,93846,0,0,5.7
Catoosa,GA,63942,24475,63.63636363636363,45681,0,0,4.2
Catron,NM,3725,1787,0.0,3725,3725,3586,0.0
Cattaraugus,NY,80317,32263,28.57142857142857,46942,132,0,11.1
Cavalier,ND,3993,1818,0.0,2161,1454,566,3.2
Cayuga,NY,80026,31445,35.0,46997,45,0,9.8
Cecil,MD,101108,36867,36.84210526315789,73391,182,0,5.4
Cedar,IA,18499,7511,20.0,13067,1952,0,3.7
Cedar,MO,13982,5838,33.33333333333333,8515,799,0,3.5
Cedar,NE,8852,3539,0.0,7234,3556,0,3.3
Centre,PA,153990,57573,58.06451612903226,78031,850,0,10.3
Cerro Gordo,IA,44151,19350,63.63636363636363,15433,2516,0,7.8
