Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
"Butte Electric Coop, Inc",SD,Cooperative,5082,14714.3,0.0,105188.0,105188.0,20.7,23.2
City of Moultrie - (GA),GA,Municipal,5689,26219.2,0.0,190968.0,190968.0,40.6,41.0
City of Kingman - (KS),KS,Municipal,1585,4860.0,3182.0,40008.0,43190.0,11.5,6.8
"Midwest Electric, Inc",OH,Cooperative,10449,29265.5,0.0,263909.0,263909.0,50.5,47.2
Farmers Electric Coop - (IA),IA,Cooperative,602,2223.0,44.0,17790.0,17834.0,2.5,3.5
Eastern Illinois Elec Coop,IL,Cooperative,11260,34238.0,0.0,254554.0,254554.0,46.9,51.3
Todd-Wadena Electric Coop,MN,Cooperative,7875,19370.9,0.0,183496.0,183496.0,34.5,42.1
Coastal Electric Member Corp,GA,Cooperative,16174,57290.0,0.0,502144.0,502144.0,99.1,105.2
City of Marshall - (MN),MN,Municipal,5567,43721.9,112.0,578247.0,578359.0,82.8,79.1
South Central Public Pwr Dist,NE,Political Subdivision,3766,18503.3,0.0,189965.0,189965.0,77.5,29.1
Prairie Energy Coop,IA,Cooperative,3544,26592.8,78.0,283149.0,283227.0,49.1,47.8
City of Winterset - (IA),IA,Municipal,2263,5307.0,106.0,50577.0,50683.0,12.5,7.8
City of Rupert - (ID),ID,Municipal,2593,5298.2,0.0,82236.0,82236.0,11.9,17.8
Town of Shrewsbury - (MA),MA,Municipal,14387,29558.6,702.0,290044.0,290746.0,59.7,53.3
City of Dayton - (TN),TN,Municipal,8597,27750.1,0.0,286098.0,286098.0,60.5,51.1
Freeborn-Mower Coop Services,MN,Cooperative,17739,53310.0,0.0,523234.0,523234.0,99.6,83.9
Town of Front Royal,VA,Municipal,6675,16594.0,0.0,182545.0,182545.0,34.5,43.7
City of Clay Center - (KS),KS,Municipal,2212,5311.2,144.0,49877.0,50021.0,17.3,8.6
Eau Claire Electric Coop,WI,Cooperative,10339,25734.0,0.0,210842.0,210842.0,40.9,39.3
Monroe County Elec Power Assn,MS,Cooperative,9684,23127.6,0.0,211462.0,211462.0,49.2,63.6
Axon Power & Gas LLC,TX,Retail Power Marketer,3943,5392.6,0.0,103929.0,103929.0,0.0,0.0
Lockhart Power Co,SC,Investor Owned,4925,31135.0,70767.0,324993.0,395760.0,68.4,63.6
"Alaska Village Elec Coop, Inc",AK,Cooperative,8158,46487.0,124113.0,0.0,124113.0,19.4,23.6
Gunnison County Elec Assn.,CO,Cooperative,9308,17736.7,0.0,124885.0,124885.0,17.0,26.2
Two Rivers Water & Light,WI,Municipal,5570,8993.3,0.0,82948.0,82948.0,17.8,13.9
Trenton Municipal Utilities - (MO),MO,Municipal,2571,8746.9,109.0,86638.0,86747.0,17.6,16.3
City of Starke - (FL),FL,Municipal,2047,8279.0,0.0,70696.0,70696.0,15.3,14.4
City of Stilwell - (OK),OK,Municipal,1539,5023.0,0.0,76573.0,76573.0,15.6,13.2
Town of Mansfield - (MA),MA,Municipal,8839,26344.9,0.0,207446.0,207446.0,47.4,35.7
Cape Hatteras Elec Member Corp,NC,Cooperative,6674,17015.0,0.0,135602.0,135602.0,41.7,44.3
City of Hannibal - (MO),MO,Municipal,7626,31557.2,137648.0,263037.0,400685.0,55.9,43.0
Claverack Rural Elec Coop Inc,PA,Cooperative,17206,32222.0,0.0,253201.0,253201.0,41.8,54.8
City of Cushing - (OK),OK,Municipal,3586,9151.0,0.0,120656.0,120656.0,28.1,19.4
City of Rockwood - (TN),TN,Municipal,11553,32515.6,0.0,311732.0,311732.0,65.7,76.1
Choctaw Electric Coop Inc,OK,Cooperative,18637,42903.8,0.0,460835.0,460835.0,94.6,110.3
Cooperative L&P Assn Lake County,MN,Cooperative,5514,12493.3,0.0,105666.0,105666.0,12.0,16.3
"Northern Electric Coop, Inc",SD,Cooperative,5336,28280.6,0.0,312287.0,312287.0,44.2,61.2
Chimney Rock Public Power Dist,NE,Political Subdivision,1975,7147.0,0.0,58796.0,58796.0,22.3,8.5
Three Rivers Electric Coop,MO,Cooperative,20809,38709.0,0.0,394567.0,394567.0,92.0,93.8
Hamilton County Elec Coop Assn,TX,Cooperative,17265,23668.3,0.0,228871.0,228871.0,57.4,79.4
City of Lenox - (IA),IA,Municipal,607,1607.6,1506.0,15865.0,17371.0,3.5,3.2
City of Kimball - (NE),NE,Municipal,1462,2057.6,52.0,21999.0,22051.0,4.8,4.4
Athens Utility Board,TN,Municipal,10903,49652.3,0.0,657367.0,657367.0,113.1,109.3
Dakota Energy Coop Inc,SD,Cooperative,3257,24004.9,0.0,239081.0,239081.0,46.6,48.6
Tri-County Elec Member Corp,GA,Cooperative,19353,41726.1,0.0,375188.0,375188.0,83.9,104.8
City of Oak Ridge,TN,Municipal,13950,55608.3,0.0,518349.0,518349.0,104.0,87.2
"Osceola Electric Coop, Inc",IA,Cooperative,1064,7174.7,233.0,74316.0,74549.0,13.1,11.8
Twin County Electric Pwr Assn,MS,Cooperative,8971,29466.9,0.0,215614.0,215614.0,75.6,39.4
Vernon Electric Coop,WI,Cooperative,10622,20132.0,0.0,154964.0,154964.0,31.9,30.2
City of Cameron,MO,Municipal,2866,7653.0,0.0,79973.0,79973.0,18.3,14.1
City of Albemarle - (NC),NC,Municipal,9876,32937.1,0.0,296364.0,296364.0,62.6,67.9
City of Sabetha - (KS),KS,Municipal,1403,4662.0,-1038.0,50501.0,49463.0,11.0,8.0
"Grand Electric Coop, Inc",SD,Cooperative,4602,11453.2,0.0,90211.0,90211.0,9.9,19.1
"New-Mac Electric Coop, Inc",MO,Cooperative,17417,40887.0,0.0,391757.0,391757.0,82.8,89.4
City of Lebanon - (MO),MO,Municipal,5798,23083.0,0.0,276353.0,276353.0,56.7,57.5
Southwestern Electric Coop Inc - (IL),IL,Cooperative,22432,56987.1,3518.0,446133.0,449651.0,115.1,82.8
City of Fairbury,NE,Municipal,2677,8422.0,223.0,92669.0,92892.0,19.9,17.9
"McLean Electric Coop, Inc",ND,Cooperative,3484,14698.0,0.0,135470.0,135470.0,20.5,23.9
City of Lexington - (NC),NC,Municipal,16547,49156.3,0.0,398324.0,398324.0,86.5,95.3
Town of Middleborough - (MA),MA,Municipal,14122,34788.1,227.0,278693.0,278920.0,56.5,46.6
City of Milan,TN,Municipal,6757,19151.7,0.0,193720.0,193720.0,44.8,41.7
"Panola-Harrison Elec Coop, Inc",TX,Cooperative,17299,32713.5,0.0,342417.0,342417.0,82.0,105.0
Missouri Rural Electric Coop,MO,Cooperative,4775,17926.0,0.0,226126.0,226126.0,38.0,38.0
McMinnville Electric System,TN,Municipal,6381,21333.8,0.0,198769.0,198769.0,42.5,40.0
City of Blaine - (WA),WA,Municipal,2771,6449.0,0.0,83250.0,83250.0,11.2,15.8
City of Amory,MS,Municipal,2915,13647.2,0.0,136792.0,136792.0,29.9,21.9
City of Olivia - (MN),MN,Municipal,1050,2501.2,0.0,29339.0,29339.0,6.0,5.7
"Escambia River Elec Coop, Inc",FL,Cooperative,9689,23946.0,0.0,185276.0,185276.0,42.0,50.1
City of Richland Center - (WI),WI,Municipal,2395,10066.8,0.0,111556.0,111556.0,20.0,14.8
PNE Energy Supply LLC,NH,Retail Power Marketer,1129,833.0,0.0,9369.0,9369.0,0.0,0.0
"Wolverine Alternative Investments, LLC",IL,Retail Power Marketer,4683,5462.1,0.0,68479.0,68479.0,17.4,10.7
City of Peru - (IN),IN,Municipal,8850,23681.2,18.0,239237.0,239255.0,50.0,38.9
City of Healdsburg - (CA),CA,Municipal,4823,12531.0,58791.0,21999.0,80790.0,22.4,11.3
"Roseau Electric Coop, Inc",MN,Cooperative,6133,18768.0,0.0,156222.0,156222.0,25.2,39.8
City of Black River Falls,WI,Municipal,2215,6859.1,6352.0,53827.0,60179.0,11.3,10.2
Washington Elec Member Corp,GA,Cooperative,14740,37385.5,0.0,375941.0,375941.0,77.4,88.6
City of Westby,WI,Municipal,994,2614.2,0.0,24938.0,24938.0,5.3,4.3
Lake Mills Light & Water,WI,Municipal,3724,7978.4,0.0,64928.0,64928.0,14.8,10.5
"Covington Electric Coop, Inc",AL,Cooperative,21834,52274.0,0.0,389082.0,389082.0,89.0,107.0
City of Estherville - (IA),IA,Municipal,2674,6764.0,18.0,57622.0,57640.0,12.9,9.2
Tri-State Electric Member Corp,GA,Cooperative,15718,34799.2,0.0,289456.0,289456.0,63.1,82.8
City of Auburn - (IN),IN,Municipal,6436,41504.7,0.0,434660.0,434660.0,75.7,66.1
"Allamakee-Clayton El Coop, Inc",IA,Cooperative,9454,18954.4,102.0,142742.0,142844.0,26.9,28.3
Park Power LLC,PA,Retail Power Marketer,22216,17482.5,0.0,209611.0,209611.0,47.8,60.7
City of Alliance- (NE),NE,Municipal,4150,13606.5,26.0,114421.0,114447.0,25.6,20.9
"Shipley Choice, LLC",PA,Retail Power Marketer,17953,15256.9,0.0,196725.0,196725.0,0.0,0.0
Red River Valley Rrl Elec Assn,OK,Cooperative,14295,33919.0,0.0,403337.0,403337.0,76.0,102.0
"Rita Blanca Electric Coop, Inc",TX,Cooperative,2716,40694.0,0.0,525409.0,525409.0,122.7,51.0
Lakeview Light & Power,WA,Cooperative,7921,24490.6,0.0,271338.0,271338.0,37.3,58.1
"Big Country Electric Coop, Inc",TX,Cooperative,8663,26798.0,0.0,258190.0,258190.0,62.0,62.0
Boone County Rural EMC,IN,Cooperative,13909,42975.0,0.0,358037.0,358037.0,72.3,69.4
RushShelby Energy,IN,Cooperative,14376,43170.0,0.0,395812.0,395812.0,77.4,73.8
Village of Prairie Du Sac - (WI),WI,Municipal,1861,5422.2,0.0,49382.0,49382.0,10.3,9.2
City of Lamar - (MO),MO,Municipal,1991,8101.0,25783.0,58335.0,84118.0,20.2,12.2
Suwannee Valley Elec Coop Inc,FL,Cooperative,22675,58026.0,0.0,543813.0,543813.0,111.0,120.0
Chillicothe Municipal Utils,MO,Municipal,3790,10819.8,513.0,103427.0,103940.0,24.8,19.5
City of Poplar Bluff - (MO),MO,Municipal,7738,32784.2,540.0,454187.0,454727.0,77.0,72.0
Grayson Rural Electric Coop Corp,KY,Cooperative,14194,27461.0,0.0,250858.0,250858.0,62.3,52.3
"Coastal Electric Coop, Inc",SC,Cooperative,10503,27392.1,0.0,185234.0,185234.0,45.3,53.2
City of Cuero - (TX),TX,Municipal,2993,8801.3,0.0,97751.0,97751.0,22.2,19.3
Excelsior Electric Member Corp,GA,Cooperative,21102,38974.2,0.0,396991.0,396991.0,91.7,112.5
CMS Electric Coop Inc,KS,Cooperative,3147,24698.1,0.0,228371.0,228371.0,39.6,28.7
Cherokee Electric Coop,AL,Cooperative,17396,56841.3,0.0,498747.0,498747.0,102.6,109.4
Central Missouri Elec Coop Inc,MO,Cooperative,10418,26340.0,0.0,323467.0,323467.0,63.0,66.0
SunEdison LLC,CA,Behind the Meter,2502,15260.2,113144.0,0.0,113144.0,0.0,0.0
City of Stoughton - (WI),WI,Municipal,7724,15249.6,0.0,141449.0,141449.0,32.7,24.6
Hickman-Fulton Counties RECC,KY,Cooperative,2698,208.0,0.0,76317.0,76317.0,19.2,14.1
City of Orrville - (OH),OH,Municipal,6465,32996.0,78183.0,312773.0,390956.0,58.8,50.2
City of Gardner - (KS),KS,Municipal,8081,14589.0,203.0,144632.0,144835.0,38.1,26.6
North Alabama Electric Coop,AL,Cooperative,13001,39034.1,0.0,383450.0,383450.0,79.1,89.9
City of Grand Haven - (MI),MI,Municipal,12176,39140.7,273583.0,128238.0,401821.0,62.5,46.4
Kandiyohi Power Coop,MN,Cooperative,7310,19998.0,0.0,165827.0,165827.0,27.0,28.0
Parkland Light & Water Company,WA,Cooperative,3795,8616.0,0.0,121085.0,121085.0,14.6,28.4
Orange County Rural E M C,IN,Cooperative,7783,14866.6,0.0,114152.0,114152.0,26.6,30.8
Weakley County Mun Elec Sys,TN,Municipal,15676,45046.8,0.0,464479.0,464479.0,105.5,105.2
Hutchinson Utilities Comm,MN,Municipal,6240,26083.9,28605.0,281771.0,310376.0,59.9,41.3
City of Lawrenceburg,TN,Municipal,17107,50528.6,0.0,483052.0,483052.0,102.8,101.6
City of Wamego - (KS),KS,Municipal,2071,5224.0,-676.0,50501.0,49825.0,13.8,7.6
New Ulm Public Utilities Comm,MN,Municipal,6168,23704.0,2901.0,207114.0,210015.0,45.9,29.1
"Stream Energy New York, LLC",NY,Retail Power Marketer,7378,3936.9,0.0,61510.0,61510.0,13.3,14.4
City of Pryor - (OK),OK,Municipal,3839,7938.0,0.0,98485.0,98485.0,29.0,13.0
City of Pierre - (SD),SD,Municipal,6180,15706.2,0.0,177012.0,177012.0,39.9,35.3
"Clinton County Elec Coop, Inc",IL,Cooperative,5286,16516.0,0.0,143556.0,143556.0,33.0,29.0
"Stream Energy New Jersey, LLC",NJ,Retail Power Marketer,16453,21352.0,0.0,217163.0,217163.0,65.6,36.1
"XOOM Energy Rhode Island, LLC",NC,Retail Power Marketer,1487,1771.4,0.0,18809.0,18809.0,0.0,0.0
City of Marshfield - (WI),WI,Municipal,11464,31422.3,1527.0,376943.0,378470.0,67.0,60.0
City of Brookings - (SD),SD,Municipal,9399,28503.0,0.0,325443.0,325443.0,60.5,56.3
"Jefferson Davis Elec Coop, Inc",LA,Cooperative,8637,23646.0,0.0,261935.0,261935.0,50.0,48.9
"Mega Energy of Illinois, LLC",TX,Retail Power Marketer,7670,7527.8,0.0,99412.0,99412.0,29.9,16.6
Hancock-Wood Electric Coop Inc,OH,Cooperative,11191,42114.5,0.0,353738.0,353738.0,77.5,63.5
"Mega Energy of New Hampshire, LLC",TX,Retail Power Marketer,648,1601.9,0.0,15502.0,15502.0,3.8,3.0
City of Cartersville - (GA),GA,Municipal,6124,45992.0,0.0,611209.0,611209.0,102.4,77.5
City of Manassas - (VA),VA,Municipal,13439,37600.0,105.0,422747.0,422852.0,85.0,82.0
Concho Valley Elec Coop Inc,TX,Cooperative,10485,30393.9,0.0,333251.0,333251.0,60.7,52.8
"XOOM Energy Maryland, LLC",NC,Retail Power Marketer,18218,27828.5,0.0,299230.0,299230.0,0.0,0.0
Weatherford Mun Utility System,TX,Municipal,12500,32564.0,0.0,403714.0,403714.0,93.0,100.6
Manitowoc Public Utilities,WI,Municipal,15762,69271.2,170498.0,544760.0,715258.0,101.6,85.2
Garland Light & Power Company,WY,Cooperative,1900,4137.0,0.0,28209.0,28209.0,6.0,6.0
Coahoma Electric Power Assn,MS,Cooperative,5889,18522.1,0.0,175725.0,175725.0,46.7,38.7
City of Goodland - (KS),KS,Municipal,2180,5859.0,195.0,52923.0,53118.0,12.4,8.8
City of Forest Grove,OR,Municipal,8798,18704.0,0.0,254434.0,254434.0,39.6,57.7
New River Light & Power Co,NC,State,6379,17532.5,0.0,209536.0,209536.0,39.8,44.5
"SFE Energy Massachusetts, Inc.",CN,Retail Power Marketer,15945,26865.0,0.0,285252.0,285252.0,0.0,0.0
"Carroll Electric Coop, Inc - (OH)",OH,Cooperative,10831,20867.0,0.0,156396.0,156396.0,30.0,34.0
Fall River Rural Elec Coop Inc,ID,Cooperative,13701,30602.0,39598.0,305099.0,344697.0,72.0,65.1
"Alpha Gas and Electric, LLC",NY,Retail Power Marketer,10062,8698.0,0.0,68389.0,68389.0,0.0,0.0
"Forked Deer Electric Coop, Inc",TN,Cooperative,8320,21145.1,0.0,173124.0,173124.0,45.1,42.9
City of Lake City - (MN),MN,Municipal,2879,13547.0,0.0,145014.0,145014.0,28.0,23.8
Alaska Power and Telephone Co,WA,Investor Owned,5496,19771.0,23304.0,51004.0,74308.0,1.0,1.0
South Central Electric Assn,MN,Cooperative,4788,23609.0,0.0,233825.0,233825.0,38.0,34.9
City of Traverse City - (MI),MI,Municipal,9098,34716.0,0.0,318111.0,318111.0,63.8,53.8
Grand Valley Power,CO,Cooperative,15335,32138.7,256.0,256054.0,256310.0,54.5,44.0
"Steuben Rural Elec Coop, Inc",NY,Cooperative,6081,10270.0,0.0,89280.0,89280.0,13.5,18.7
New London Electric&Water Util,WI,Municipal,3329,15789.7,0.0,176143.0,176143.0,30.4,25.0
Cuming County Public Pwr Dist,NE,Political Subdivision,2786,10166.8,0.0,105877.0,105877.0,20.7,21.2
Barron Electric Coop,WI,Cooperative,18106,38231.0,128.0,380268.0,380396.0,45.9,46.2
"Bridger Valley Elec Assn, Inc",WY,Cooperative,5397,13446.0,0.0,151847.0,151847.0,24.5,26.4
Clarke Electric Coop Inc - (IA),IA,Cooperative,5077,12144.5,0.0,107800.0,107800.0,19.1,21.2
City of Webster City - (IA),IA,Municipal,3847,13063.0,0.0,109165.0,109165.0,24.1,15.5
Village of Ludlow - (VT),VT,Municipal,3034,7713.0,0.0,50280.0,50280.0,7.5,12.2
Hillsdale Board of Public Wks,MI,Municipal,5080,14197.6,566.0,125904.0,126470.0,27.0,18.7
Clarke-Washington E M C,AL,Cooperative,18314,34507.0,0.0,277601.0,277601.0,62.6,86.5
